"","agency_cd.x","site_no.x","dateTime","Flow_Inst","Flow_Inst_cd","tz_cd.x","agency_cd.y","site_no.y","Nitrate_mgl","X_99133_Inst_cd","tz_cd.y"
"1","USGS","02251767",2015-05-27 17:45:00,45.3,"A","UTC","USGS","02251767",0.04,"A","UTC"
"2","USGS","02251767",2015-05-27 18:00:00,45.3,"A","UTC","USGS","02251767",0.04,"A","UTC"
"3","USGS","02251767",2015-05-27 18:15:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"4","USGS","02251767",2015-05-27 18:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"5","USGS","02251767",2015-05-27 18:45:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"6","USGS","02251767",2015-05-27 19:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"7","USGS","02251767",2015-05-27 19:15:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"8","USGS","02251767",2015-05-27 19:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"9","USGS","02251767",2015-05-27 19:45:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"10","USGS","02251767",2015-05-27 20:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"11","USGS","02251767",2015-05-27 20:15:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"12","USGS","02251767",2015-05-27 20:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"13","USGS","02251767",2015-05-27 20:45:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"14","USGS","02251767",2015-05-27 21:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"15","USGS","02251767",2015-05-27 21:15:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"16","USGS","02251767",2015-05-27 21:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"17","USGS","02251767",2015-05-27 21:45:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"18","USGS","02251767",2015-05-27 22:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"19","USGS","02251767",2015-05-27 22:15:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"20","USGS","02251767",2015-05-27 22:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"21","USGS","02251767",2015-05-27 22:45:00,43.2,"A","UTC","USGS","02251767",0.05,"A","UTC"
"22","USGS","02251767",2015-05-27 23:00:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"23","USGS","02251767",2015-05-27 23:15:00,43.2,"A","UTC","USGS","02251767",0.05,"A","UTC"
"24","USGS","02251767",2015-05-27 23:30:00,43.2,"A","UTC","USGS","02251767",0.04,"A","UTC"
"25","USGS","02251767",2015-05-27 23:45:00,41.1,"A","UTC","USGS","02251767",0.05,"A","UTC"
"26","USGS","02251767",2015-05-28 00:00:00,43.2,"A","UTC","USGS","02251767",0.05,"A","UTC"
"27","USGS","02251767",2015-05-28 00:15:00,43.2,"A","UTC","USGS","02251767",0.05,"A","UTC"
"28","USGS","02251767",2015-05-28 00:30:00,43.2,"A","UTC","USGS","02251767",0.05,"A","UTC"
