"","dateTime","SpecCond_Inst","Flow_Inst"
"1",2016-01-28 05:00:00,289,238
"2",2016-01-28 05:15:00,289,240
"3",2016-01-28 05:30:00,289,242
"4",2016-01-28 05:45:00,289,234
"5",2016-01-28 06:00:00,288,234
"6",2016-01-28 06:15:00,288,238
"7",2016-01-28 06:30:00,288,241
"8",2016-01-28 06:45:00,288,233
"9",2016-01-28 07:00:00,288,237
"10",2016-01-28 07:15:00,287,237
"11",2016-01-28 07:30:00,287,237
"12",2016-01-28 07:45:00,287,237
"13",2016-01-28 08:00:00,287,237
"14",2016-01-28 08:15:00,287,239
"15",2016-01-28 08:30:00,287,241
"16",2016-01-28 08:45:00,287,233
"17",2016-01-28 09:00:00,286,233
"18",2016-01-28 09:15:00,286,235
"19",2016-01-28 09:30:00,286,237
"20",2016-01-28 09:45:00,286,237
"21",2016-01-28 10:00:00,286,237
"22",2016-01-28 10:15:00,286,237
"23",2016-01-28 10:30:00,286,237
"24",2016-01-28 10:45:00,286,237
"25",2016-01-28 11:00:00,286,233
"26",2016-01-28 11:15:00,286,235
"27",2016-01-28 11:30:00,286,237
"28",2016-01-28 11:45:00,286,241
"29",2016-01-28 12:00:00,287,237
"30",2016-01-28 12:15:00,287,237
"31",2016-01-28 12:30:00,287,237
"32",2016-01-28 12:45:00,287,237
"33",2016-01-28 13:00:00,287,233
"34",2016-01-28 13:15:00,287,237
"35",2016-01-28 13:30:00,287,241
"36",2016-01-28 13:45:00,287,241
"37",2016-01-28 14:00:00,286,233
"38",2016-01-28 14:15:00,286,237
"39",2016-01-28 14:30:00,287,241
"40",2016-01-28 14:45:00,287,241
"41",2016-01-28 15:00:00,287,237
"42",2016-01-28 15:15:00,287,235
"43",2016-01-28 15:30:00,287,233
"44",2016-01-28 15:45:00,288,237
"45",2016-01-28 16:00:00,288,237
"46",2016-01-28 16:15:00,288,237
"47",2016-01-28 16:30:00,288,237
"48",2016-01-28 16:45:00,288,233
"49",2016-01-28 17:00:00,289,229
"50",2016-01-28 17:15:00,289,231
"51",2016-01-28 17:30:00,289,234
"52",2016-01-28 17:45:00,289,237
"53",2016-01-28 18:00:00,289,241
"54",2016-01-28 18:15:00,289,241
"55",2016-01-28 18:30:00,289,241
"56",2016-01-28 18:45:00,289,246
"57",2016-01-28 19:00:00,289,229
"58",2016-01-28 19:15:00,289,231
"59",2016-01-28 19:30:00,289,233
"60",2016-01-28 19:45:00,289,241
"61",2016-01-28 20:00:00,290,237
"62",2016-01-28 20:15:00,290,237
"63",2016-01-28 20:30:00,290,237
"64",2016-01-28 20:45:00,290,237
"65",2016-01-28 21:00:00,290,237
"66",2016-01-28 21:15:00,290,239
"67",2016-01-28 21:30:00,290,241
"68",2016-01-28 21:45:00,290,242
"69",2016-01-28 22:00:00,290,242
"70",2016-01-28 22:15:00,290,242
"71",2016-01-28 22:30:00,290,242
"72",2016-01-28 22:45:00,291,238
"73",2016-01-28 23:00:00,291,242
"74",2016-01-28 23:15:00,291,242
"75",2016-01-28 23:30:00,291,242
"76",2016-01-28 23:45:00,291,242
"77",2016-01-29 00:00:00,291,247
"78",2016-01-29 00:15:00,291,244
"79",2016-01-29 00:30:00,291,242
"80",2016-01-29 00:45:00,291,242
"81",2016-01-29 01:00:00,291,242
"82",2016-01-29 01:15:00,292,242
"83",2016-01-29 01:30:00,291,242
"84",2016-01-29 01:45:00,291,242
"85",2016-01-29 02:00:00,291,247
"86",2016-01-29 02:15:00,292,244
"87",2016-01-29 02:30:00,292,242
"88",2016-01-29 02:45:00,291,242
"89",2016-01-29 03:00:00,291,247
"90",2016-01-29 03:15:00,291,242
"91",2016-01-29 03:30:00,291,238
"92",2016-01-29 03:45:00,291,242
"93",2016-01-29 04:00:00,291,242
"94",2016-01-29 04:15:00,291,240
"95",2016-01-29 04:30:00,291,238
"96",2016-01-29 04:45:00,291,242
"97",2016-01-29 05:00:00,291,242
"98",2016-01-29 05:15:00,291,242
"99",2016-01-29 05:30:00,291,242
"100",2016-01-29 05:45:00,291,242
"101",2016-01-29 06:00:00,291,247
"102",2016-01-29 06:15:00,290,244
"103",2016-01-29 06:30:00,290,242
"104",2016-01-29 06:45:00,290,242
"105",2016-01-29 07:00:00,290,242
"106",2016-01-29 07:15:00,290,242
"107",2016-01-29 07:30:00,290,242
"108",2016-01-29 07:45:00,290,241
"109",2016-01-29 08:00:00,290,237
"110",2016-01-29 08:15:00,290,239
"111",2016-01-29 08:30:00,290,241
"112",2016-01-29 08:45:00,290,237
"113",2016-01-29 09:00:00,290,241
"114",2016-01-29 09:15:00,289,241
"115",2016-01-29 09:30:00,289,241
"116",2016-01-29 09:45:00,289,241
"117",2016-01-29 10:00:00,289,241
"118",2016-01-29 10:15:00,289,239
"119",2016-01-29 10:30:00,289,237
"120",2016-01-29 10:45:00,289,237
"121",2016-01-29 11:00:00,289,237
"122",2016-01-29 11:15:00,289,237
"123",2016-01-29 11:30:00,289,237
"124",2016-01-29 11:45:00,289,237
"125",2016-01-29 12:00:00,289,237
"126",2016-01-29 12:15:00,289,237
"127",2016-01-29 12:30:00,289,237
"128",2016-01-29 12:45:00,289,241
"129",2016-01-29 13:00:00,289,237
"130",2016-01-29 13:15:00,290,235
"131",2016-01-29 13:30:00,289,233
"132",2016-01-29 13:45:00,289,235
"133",2016-01-29 14:00:00,290,237
"134",2016-01-29 14:15:00,289,237
"135",2016-01-29 14:30:00,289,237
"136",2016-01-29 14:45:00,290,237
"137",2016-01-29 15:00:00,290,241
"138",2016-01-29 15:15:00,290,239
"139",2016-01-29 15:30:00,290,237
"140",2016-01-29 15:45:00,290,237
"141",2016-01-29 16:00:00,290,237
"142",2016-01-29 16:15:00,290,237
"143",2016-01-29 16:30:00,290,237
"144",2016-01-29 16:45:00,290,237
"145",2016-01-29 17:00:00,290,233
"146",2016-01-29 17:15:00,290,235
"147",2016-01-29 17:30:00,290,237
"148",2016-01-29 17:45:00,290,237
"149",2016-01-29 18:00:00,290,237
"150",2016-01-29 18:15:00,290,235
"151",2016-01-29 18:30:00,290,233
"152",2016-01-29 18:45:00,290,237
"153",2016-01-29 19:00:00,290,233
"154",2016-01-29 19:15:00,290,232
"155",2016-01-29 19:30:00,290,232
"156",2016-01-29 19:45:00,290,236
"157",2016-01-29 20:00:00,290,228
"158",2016-01-29 20:15:00,290,230
"159",2016-01-29 20:30:00,290,232
