"","dateTime","SpecCond_Inst","Flow_Inst"
"1",2017-01-18 20:30:00,320,255
"2",2017-01-18 21:00:00,319,259
"3",2017-01-18 21:15:00,319,260
"4",2017-01-18 21:30:00,318,253
"5",2017-01-18 21:45:00,319,257
"6",2017-01-18 22:00:00,319,260
"7",2017-01-18 22:15:00,319,262
"8",2017-01-18 22:30:00,319,257
"9",2017-01-18 22:45:00,320,265
"10",2017-01-18 23:00:00,320,259
"11",2017-01-18 23:15:00,320,267
"12",2017-01-18 23:30:00,320,260
"13",2017-01-18 23:45:00,320,255
"14",2017-01-19 00:00:00,321,255
"15",2017-01-19 00:15:00,321,265
"16",2017-01-19 00:30:00,321,258
"17",2017-01-19 00:45:00,321,247
"18",2017-01-19 01:00:00,322,262
"19",2017-01-19 01:15:00,322,263
"20",2017-01-19 01:30:00,322,248
"21",2017-01-19 01:45:00,322,262
"22",2017-01-19 02:00:00,322,251
"23",2017-01-19 02:15:00,322,249
"24",2017-01-19 02:30:00,322,252
"25",2017-01-19 02:45:00,322,244
"26",2017-01-19 03:00:00,322,245
"27",2017-01-19 03:15:00,322,255
"28",2017-01-19 03:30:00,322,256
"29",2017-01-19 03:45:00,321,259
"30",2017-01-19 04:00:00,321,260
"31",2017-01-19 04:15:00,321,264
"32",2017-01-19 04:30:00,321,260
"33",2017-01-19 04:45:00,321,266
"34",2017-01-19 05:00:00,321,259
"35",2017-01-19 05:15:00,321,258
"36",2017-01-19 05:30:00,321,258
"37",2017-01-19 05:45:00,321,255
"38",2017-01-19 06:00:00,320,264
"39",2017-01-19 06:15:00,320,257
"40",2017-01-19 06:30:00,322,267
"41",2017-01-19 06:45:00,321,264
"42",2017-01-19 07:00:00,321,263
"43",2017-01-19 07:15:00,321,262
"44",2017-01-19 07:30:00,321,255
"45",2017-01-19 07:45:00,320,259
"46",2017-01-19 08:00:00,320,253
"47",2017-01-19 08:15:00,320,249
"48",2017-01-19 08:30:00,320,262
"49",2017-01-19 08:45:00,320,265
