"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2015-08-11 19:45:00",2.89,68.1
"2","2015-08-11 20:00:00",2.88,66.9
"3","2015-08-11 20:15:00",2.89,66.7
"4","2015-08-11 20:30:00",2.9,64.3
"5","2015-08-11 20:45:00",2.89,67.8
"6","2015-08-11 21:00:00",2.9,67.8
"7","2015-08-11 21:15:00",2.9,65.5
"8","2015-08-11 21:30:00",2.9,67.8
"9","2015-08-11 21:45:00",2.9,66.4
"10","2015-08-11 22:00:00",2.89,65.3
"11","2015-08-11 22:15:00",2.89,67.6
"12","2015-08-11 22:30:00",2.89,65.3
"13","2015-08-11 22:45:00",2.89,67.6
"14","2015-08-11 23:00:00",2.89,66.4
"15","2015-08-11 23:15:00",2.89,68.8
"16","2015-08-11 23:30:00",2.89,67.6
"17","2015-08-11 23:45:00",2.89,67.4
"18","2015-08-12 00:00:00",2.89,67.4
"19","2015-08-12 00:15:00",2.89,68.6
"20","2015-08-12 00:30:00",2.89,68.6
"21","2015-08-12 00:45:00",2.89,68.6
"22","2015-08-12 01:00:00",2.89,68.6
"23","2015-08-12 01:15:00",2.89,66.2
"24","2015-08-12 01:30:00",2.89,68.4
"25","2015-08-12 01:45:00",2.89,69.8
"26","2015-08-12 02:00:00",2.89,66.2
"27","2015-08-12 02:15:00",2.89,67.4
"28","2015-08-12 02:30:00",2.89,69.6
"29","2015-08-12 02:45:00",2.89,69.6
"30","2015-08-12 03:00:00",2.89,67.4
"31","2015-08-12 03:15:00",2.9,67.2
"32","2015-08-12 03:30:00",2.89,68.4
"33","2015-08-12 03:45:00",2.89,67.2
"34","2015-08-12 04:00:00",2.9,69.6
"35","2015-08-12 04:15:00",2.89,68.4
"36","2015-08-12 04:30:00",2.9,69.6
"37","2015-08-12 04:45:00",2.9,68.4
"38","2015-08-12 05:00:00",2.9,67.2
"39","2015-08-12 05:15:00",2.9,69.6
"40","2015-08-12 05:30:00",2.9,68.4
"41","2015-08-12 05:45:00",2.89,69.6
"42","2015-08-12 06:00:00",2.9,73.1
"43","2015-08-12 06:15:00",2.9,68.2
"44","2015-08-12 06:30:00",2.9,69.6
"45","2015-08-12 06:45:00",2.9,69.6
"46","2015-08-12 07:00:00",2.9,68.2
"47","2015-08-12 07:15:00",2.89,68.2
"48","2015-08-12 07:30:00",2.9,71.7
"49","2015-08-12 07:45:00",2.9,70.5
"50","2015-08-12 08:00:00",2.89,69.3
"51","2015-08-12 08:15:00",2.9,71.7
"52","2015-08-12 08:30:00",2.9,70.7
"53","2015-08-12 08:45:00",2.9,71.7
"54","2015-08-12 09:00:00",2.89,70.5
"55","2015-08-12 09:15:00",2.9,70.5
"56","2015-08-12 09:30:00",2.9,70.5
"57","2015-08-12 09:45:00",2.9,71.7
"58","2015-08-12 10:00:00",2.89,71.7
"59","2015-08-12 10:15:00",2.9,70.5
"60","2015-08-12 10:30:00",2.9,71.5
"61","2015-08-12 10:45:00",2.89,71.7
"62","2015-08-12 11:00:00",2.89,72.9
"63","2015-08-12 11:15:00",2.89,69.1
"64","2015-08-12 11:30:00",2.9,68
"65","2015-08-12 11:45:00",2.9,72.6
"66","2015-08-12 12:00:00",2.89,72.9
"67","2015-08-12 12:15:00",2.9,70.3
"68","2015-08-12 12:30:00",2.9,72.6
"69","2015-08-12 12:45:00",2.9,71.5
"70","2015-08-12 13:00:00",2.89,69.1
"71","2015-08-12 13:15:00",2.89,70.3
