"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2015-10-31 04:15:00",0.47,1210
"2","2015-10-31 04:30:00",0.47,1210
"3","2015-10-31 04:45:00",0.48,1210
"4","2015-10-31 05:00:00",0.48,1210
"5","2015-10-31 05:15:00",0.49,1210
"6","2015-10-31 05:30:00",0.47,1200
"7","2015-10-31 05:45:00",0.48,1190
"8","2015-10-31 06:00:00",0.48,1170
"9","2015-10-31 06:15:00",0.48,1140
"10","2015-10-31 06:30:00",0.49,1090
"11","2015-10-31 06:45:00",0.49,1040
"12","2015-10-31 07:00:00",0.48,980
"13","2015-10-31 07:15:00",0.49,927
"14","2015-10-31 07:30:00",0.48,894
"15","2015-10-31 07:45:00",0.48,870
"16","2015-10-31 08:00:00",0.48,860
"17","2015-10-31 08:15:00",0.48,855
"18","2015-10-31 08:30:00",0.48,845
"19","2015-10-31 08:45:00",0.48,835
"20","2015-10-31 09:00:00",0.49,820
"21","2015-10-31 09:15:00",0.48,794
"22","2015-10-31 09:30:00",0.49,766
"23","2015-10-31 09:45:00",0.49,738
"24","2015-10-31 10:00:00",0.48,709
"25","2015-10-31 10:15:00",0.5,679
"26","2015-10-31 10:30:00",0.49,660
"27","2015-10-31 10:45:00",0.48,647
"28","2015-10-31 11:00:00",0.5,641
"29","2015-10-31 11:15:00",0.49,993
"30","2015-10-31 11:30:00",0.48,993
"31","2015-10-31 11:45:00",0.48,971
"32","2015-10-31 12:00:00",0.48,1060
"33","2015-10-31 12:15:00",0.48,1130
"34","2015-10-31 12:30:00",0.51,1210
"35","2015-10-31 12:45:00",0.49,1310
"36","2015-10-31 13:00:00",0.5,1430
"37","2015-10-31 13:15:00",0.5,1520
"38","2015-10-31 13:30:00",0.48,1620
"39","2015-10-31 13:45:00",0.49,1690
"40","2015-10-31 14:00:00",0.48,1700
"41","2015-10-31 14:15:00",0.5,1730
"42","2015-10-31 14:30:00",0.5,1760
"43","2015-10-31 14:45:00",0.49,1770
"44","2015-10-31 15:00:00",0.49,1810
"45","2015-10-31 15:15:00",0.5,1810
"46","2015-10-31 15:30:00",0.49,1850
"47","2015-10-31 15:45:00",0.5,1850
"48","2015-10-31 16:00:00",0.49,1890
"49","2015-10-31 16:15:00",0.5,1930
"50","2015-10-31 16:30:00",0.49,1930
"51","2015-10-31 16:45:00",0.49,1970
"52","2015-10-31 17:00:00",0.49,1990
"53","2015-10-31 17:15:00",0.48,2050
"54","2015-10-31 17:30:00",0.48,2050
"55","2015-10-31 17:45:00",0.48,2080
"56","2015-10-31 18:00:00",0.48,2090
"57","2015-10-31 18:15:00",0.48,2130
"58","2015-10-31 18:30:00",0.48,2160
