"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2018-03-13 13:30:00",0.5,69.2
"2","2018-03-13 13:45:00",0.5,70.7
"3","2018-03-13 14:00:00",0.5,70.3
"4","2018-03-13 14:15:00",0.5,68.5
"5","2018-03-13 14:30:00",0.49,68.5
"6","2018-03-13 14:45:00",0.51,70.1
"7","2018-03-13 15:00:00",0.51,66.5
"8","2018-03-13 15:15:00",0.5,69.7
"9","2018-03-13 15:30:00",0.52,66.2
"10","2018-03-13 15:45:00",0.51,66.2
"11","2018-03-13 16:00:00",0.53,69.4
"12","2018-03-13 16:15:00",0.51,69.4
"13","2018-03-13 16:30:00",0.5,69.4
"14","2018-03-13 16:45:00",0.51,67.6
"15","2018-03-13 17:00:00",0.51,64.1
"16","2018-03-13 17:15:00",0.52,67.9
"17","2018-03-13 17:30:00",0.51,64.4
"18","2018-03-13 17:45:00",0.52,66.5
"19","2018-03-13 18:00:00",0.51,63.4
"20","2018-03-13 18:15:00",0.51,56.9
"21","2018-03-13 18:30:00",0.5,48.8
"22","2018-03-13 18:45:00",0.51,36.9
"23","2018-03-13 19:00:00",0.54,26.2
"24","2018-03-13 19:15:00",0.54,6.26
"25","2018-03-13 19:30:00",0.56,-2.99
"26","2018-03-13 19:45:00",0.53,-9.29
"27","2018-03-13 20:00:00",0.53,-11.2
"28","2018-03-13 20:15:00",0.52,-4.92
"29","2018-03-13 20:30:00",0.52,-11.6
"30","2018-03-13 20:45:00",0.54,24.2
"31","2018-03-13 21:00:00",0.54,48.2
"32","2018-03-13 21:15:00",0.53,64.3
"33","2018-03-13 21:30:00",0.54,75.5
"34","2018-03-13 21:45:00",0.52,84
"35","2018-03-13 22:00:00",0.57,80.8
"36","2018-03-13 22:15:00",0.57,82.2
"37","2018-03-13 22:30:00",0.58,85.9
"38","2018-03-13 22:45:00",0.56,82.7
"39","2018-03-13 23:00:00",0.56,86.2
"40","2018-03-13 23:15:00",0.56,83
"41","2018-03-13 23:30:00",0.57,82.1
"42","2018-03-13 23:45:00",0.54,87.6
"43","2018-03-14 00:00:00",0.56,84.8
"44","2018-03-14 00:15:00",0.55,81.7
"45","2018-03-14 00:30:00",0.55,76.9
"46","2018-03-14 00:45:00",0.56,80.5
"47","2018-03-14 01:00:00",0.55,75.7
"48","2018-03-14 01:15:00",0.54,73.7
"49","2018-03-14 01:30:00",0.53,67.8
"50","2018-03-14 01:45:00",0.53,60.3
"51","2018-03-14 02:00:00",0.52,44.3
"52","2018-03-14 02:15:00",0.55,30.3
"53","2018-03-14 02:30:00",0.53,22.2
"54","2018-03-14 02:45:00",0.53,6.83
"55","2018-03-14 03:00:00",0.54,-1.61
"56","2018-03-14 03:15:00",0.51,-1.65
"57","2018-03-14 03:30:00",0.52,-6.78
"58","2018-03-14 03:45:00",0.53,-6.94
"59","2018-03-14 04:00:00",0.51,-8.87
"60","2018-03-14 04:15:00",0.53,-10.8
"61","2018-03-14 04:30:00",0.53,-9.21
"62","2018-03-14 04:45:00",0.52,-5.63
"63","2018-03-14 05:00:00",0.55,-3.82
"64","2018-03-14 05:15:00",0.57,-1.94
"65","2018-03-14 05:30:00",0.57,-1.97
"66","2018-03-14 05:45:00",0.56,2.9
"67","2018-03-14 06:00:00",0.56,8.78
"68","2018-03-14 06:15:00",0.58,17.7
"69","2018-03-14 06:30:00",0.57,32.6
"70","2018-03-14 06:45:00",0.58,53.3
"71","2018-03-14 07:00:00",0.57,70.7
"72","2018-03-14 07:15:00",0.58,84.4
"73","2018-03-14 07:30:00",0.57,95
"74","2018-03-14 07:45:00",0.59,99.6
"75","2018-03-14 08:00:00",0.58,90
"76","2018-03-14 08:15:00",0.58,91.7
"77","2018-03-14 08:30:00",0.58,95.8
"78","2018-03-14 08:45:00",0.56,97.1
"79","2018-03-14 09:00:00",0.57,95.6
"80","2018-03-14 09:15:00",0.56,99.3
"81","2018-03-14 09:30:00",0.57,97.8
"82","2018-03-14 09:45:00",0.56,101
"83","2018-03-14 10:00:00",0.54,101
"84","2018-03-14 10:15:00",0.58,102
"85","2018-03-14 10:30:00",0.54,100
"86","2018-03-14 10:45:00",0.55,100
"87","2018-03-14 11:00:00",0.54,98.6
"88","2018-03-14 11:15:00",0.51,96.4
"89","2018-03-14 11:30:00",0.5,95
"90","2018-03-14 11:45:00",0.51,95.4
"91","2018-03-14 12:00:00",0.49,96.1
"92","2018-03-14 12:15:00",0.49,90.4
"93","2018-03-14 12:30:00",0.51,87.3
"94","2018-03-14 12:45:00",0.48,85.9
"95","2018-03-14 13:00:00",0.49,86.9
"96","2018-03-14 13:15:00",0.49,69.9
"97","2018-03-14 13:30:00",0.49,86.8
"98","2018-03-14 13:45:00",0.47,82.2
"99","2018-03-14 14:00:00",0.48,81.2
"100","2018-03-14 14:15:00",0.48,80.8
"101","2018-03-14 14:30:00",0.47,80.2
"102","2018-03-14 14:45:00",0.47,79.5
"103","2018-03-14 15:00:00",0.45,75
"104","2018-03-14 15:15:00",0.48,76.6
"105","2018-03-14 15:30:00",0.48,74.4
"106","2018-03-14 15:45:00",0.46,74.1
"107","2018-03-14 16:00:00",0.48,68.2
"108","2018-03-14 16:15:00",0.46,73.4
"109","2018-03-14 16:30:00",0.47,67.9
"110","2018-03-14 16:45:00",0.46,71.3
"111","2018-03-14 17:00:00",0.48,66.1
"112","2018-03-14 17:15:00",0.49,60.6
"113","2018-03-14 17:30:00",0.49,64.8
"114","2018-03-14 17:45:00",0.49,56.3
"115","2018-03-14 18:00:00",0.47,46
"116","2018-03-14 18:15:00",0.49,33.7
"117","2018-03-14 18:30:00",0.5,22.6
"118","2018-03-14 18:45:00",0.5,6.38
"119","2018-03-14 19:00:00",0.49,-3.05
"120","2018-03-14 19:15:00",0.52,-15.9
"121","2018-03-14 19:30:00",0.51,-21.4
"122","2018-03-14 19:45:00",0.5,-15.3
"123","2018-03-14 20:00:00",0.52,37.8
"124","2018-03-14 20:15:00",0.53,-3.51
"125","2018-03-14 20:30:00",0.53,-22.9
"126","2018-03-14 20:45:00",0.53,12.8
"127","2018-03-14 21:00:00",0.53,50.8
"128","2018-03-14 21:15:00",0.54,90.8
"129","2018-03-14 21:30:00",0.54,77.2
"130","2018-03-14 21:45:00",0.56,86
"131","2018-03-14 22:00:00",0.56,87.3
"132","2018-03-14 22:15:00",0.58,86.1
"133","2018-03-14 22:30:00",0.59,87.2
"134","2018-03-14 22:45:00",0.56,88.4
"135","2018-03-14 23:00:00",0.56,89.4
"136","2018-03-14 23:15:00",0.55,85.8
"137","2018-03-14 23:30:00",0.54,89
"138","2018-03-14 23:45:00",0.56,88
"139","2018-03-15 00:00:00",0.53,86.7
"140","2018-03-15 00:15:00",0.54,81.5
"141","2018-03-15 00:30:00",0.52,82.7
"142","2018-03-15 00:45:00",0.52,79.6
"143","2018-03-15 01:00:00",0.52,82.8
"144","2018-03-15 01:15:00",0.53,81.8
"145","2018-03-15 01:30:00",0.54,81.2
"146","2018-03-15 01:45:00",0.52,82.6
"147","2018-03-15 02:00:00",0.5,76.2
"148","2018-03-15 02:15:00",0.5,70.2
"149","2018-03-15 02:30:00",0.53,66.7
"150","2018-03-15 02:45:00",0.51,57.3
"151","2018-03-15 03:00:00",0.52,45.7
"152","2018-03-15 03:15:00",0.51,31.8
"153","2018-03-15 03:30:00",0.52,21.8
"154","2018-03-15 03:45:00",0.51,4.48
"155","2018-03-15 04:00:00",0.52,2.32
"156","2018-03-15 04:15:00",0.52,-9.83
"157","2018-03-15 04:30:00",0.5,-10.1
"158","2018-03-15 04:45:00",0.53,-10.4
"159","2018-03-15 05:00:00",0.52,-17.9
"160","2018-03-15 05:15:00",0.49,-11
"161","2018-03-15 05:30:00",0.53,-13.1
"162","2018-03-15 05:45:00",0.53,-11.4
"163","2018-03-15 06:00:00",0.54,-9.66
"164","2018-03-15 06:15:00",0.57,-3.92
"165","2018-03-15 06:30:00",0.56,2.89
"166","2018-03-15 06:45:00",0.55,11.7
"167","2018-03-15 07:00:00",0.55,29.3
"168","2018-03-15 07:15:00",0.58,49.8
"169","2018-03-15 07:30:00",0.55,67.1
"170","2018-03-15 07:45:00",0.56,78.1
"171","2018-03-15 08:00:00",0.56,88.7
"172","2018-03-15 08:15:00",0.57,90.5
"173","2018-03-15 08:30:00",0.56,92
"174","2018-03-15 08:45:00",0.6,93.6
"175","2018-03-15 09:00:00",0.57,97.7
"176","2018-03-15 09:15:00",0.6,98.9
"177","2018-03-15 09:30:00",0.57,94.7
"178","2018-03-15 09:45:00",0.56,101
"179","2018-03-15 10:00:00",0.57,96.2
"180","2018-03-15 10:15:00",0.56,104
"181","2018-03-15 10:30:00",0.55,105
"182","2018-03-15 10:45:00",0.56,107
"183","2018-03-15 11:00:00",0.53,105
"184","2018-03-15 11:15:00",0.53,101
"185","2018-03-15 11:30:00",0.53,101
"186","2018-03-15 11:45:00",0.52,96.8
"187","2018-03-15 12:00:00",0.53,95.4
"188","2018-03-15 12:15:00",0.52,95.8
"189","2018-03-15 12:30:00",0.5,92.5
"190","2018-03-15 12:45:00",0.48,93.2
"191","2018-03-15 13:00:00",0.5,93.7
"192","2018-03-15 13:15:00",0.49,88.6
"193","2018-03-15 13:30:00",0.47,87.5
"194","2018-03-15 13:45:00",0.48,86.4
"195","2018-03-15 14:00:00",0.47,81.5
"196","2018-03-15 14:15:00",0.48,84.7
"197","2018-03-15 14:30:00",0.47,82
"198","2018-03-15 14:45:00",0.46,79.5
"199","2018-03-15 15:00:00",0.47,75
"200","2018-03-15 15:15:00",0.47,74.7
"201","2018-03-15 15:30:00",0.47,72.2
"202","2018-03-15 15:45:00",0.46,73.7
"203","2018-03-15 16:00:00",0.47,73.4
"204","2018-03-15 16:15:00",0.49,72.7
"205","2018-03-15 16:30:00",0.47,69.1
"206","2018-03-15 16:45:00",0.49,72.4
"207","2018-03-15 17:00:00",0.48,70.6
"208","2018-03-15 17:15:00",0.48,72.1
"209","2018-03-15 17:30:00",0.47,70.3
"210","2018-03-15 17:45:00",0.47,66.7
"211","2018-03-15 18:00:00",0.47,67
"212","2018-03-15 18:15:00",0.49,63.9
"213","2018-03-15 18:30:00",0.49,50.4
"214","2018-03-15 18:45:00",0.5,36.7
"215","2018-03-15 19:00:00",0.51,14.1
"216","2018-03-15 19:15:00",0.5,-1.46
"217","2018-03-15 19:30:00",0.51,-7.71
"218","2018-03-15 19:45:00",0.49,-24.4
"219","2018-03-15 20:00:00",0.51,-42.5
"220","2018-03-15 20:15:00",0.51,-38.8
"221","2018-03-15 20:30:00",0.54,-38.3
"222","2018-03-15 20:45:00",0.55,-35.4
"223","2018-03-15 21:00:00",0.53,-17
"224","2018-03-15 21:15:00",0.52,0
"225","2018-03-15 21:30:00",0.53,41.2
"226","2018-03-15 21:45:00",0.54,68
"227","2018-03-15 22:00:00",0.53,83.3
"228","2018-03-15 22:15:00",0.53,90.3
"229","2018-03-15 22:30:00",0.55,94.1
"230","2018-03-15 22:45:00",0.56,92.6
"231","2018-03-15 23:00:00",0.56,95.9
"232","2018-03-15 23:15:00",0.55,104
"233","2018-03-15 23:30:00",0.57,102
"234","2018-03-15 23:45:00",0.54,92.9
"235","2018-03-16 00:00:00",0.55,103
"236","2018-03-16 00:15:00",0.55,96.2
"237","2018-03-16 00:30:00",0.54,99
"238","2018-03-16 00:45:00",0.54,92.8
"239","2018-03-16 01:00:00",0.52,95.4
"240","2018-03-16 01:15:00",0.51,91.8
"241","2018-03-16 01:30:00",0.52,88.3
"242","2018-03-16 01:45:00",0.52,86.9
"243","2018-03-16 02:00:00",0.53,90
"244","2018-03-16 02:15:00",0.52,86.9
"245","2018-03-16 02:30:00",0.52,83.9
"246","2018-03-16 02:45:00",0.51,86.8
"247","2018-03-16 03:00:00",0.49,80.2
"248","2018-03-16 03:15:00",0.5,79.5
"249","2018-03-16 03:30:00",0.51,73.4
"250","2018-03-16 03:45:00",0.5,73.7
"251","2018-03-16 04:00:00",0.5,64.6
"252","2018-03-16 04:15:00",0.52,51.7
"253","2018-03-16 04:30:00",0.5,36.8
"254","2018-03-16 04:45:00",0.51,17
"255","2018-03-16 05:00:00",0.5,-1.51
"256","2018-03-16 05:15:00",0.51,-12.6
"257","2018-03-16 05:30:00",0.5,-16.5
"258","2018-03-16 05:45:00",0.5,-27.6
"259","2018-03-16 06:00:00",0.54,-34
"260","2018-03-16 06:15:00",0.56,-38.9
"261","2018-03-16 06:30:00",0.57,-38.1
"262","2018-03-16 06:45:00",0.55,-37.3
"263","2018-03-16 07:00:00",0.56,-34.2
"264","2018-03-16 07:15:00",0.54,-30.9
"265","2018-03-16 07:30:00",0.53,-25.2
"266","2018-03-16 07:45:00",0.52,-17.1
"267","2018-03-16 08:00:00",0.51,-8.64
"268","2018-03-16 08:15:00",0.57,12.6
"269","2018-03-16 08:30:00",0.58,50.5
"270","2018-03-16 08:45:00",0.59,81.5
"271","2018-03-16 09:00:00",0.57,83.7
"272","2018-03-16 09:15:00",0.55,91.8
"273","2018-03-16 09:30:00",0.58,96.6
"274","2018-03-16 09:45:00",0.56,95.5
"275","2018-03-16 10:00:00",0.58,97.1
"276","2018-03-16 10:15:00",0.57,102
"277","2018-03-16 10:30:00",0.58,100
"278","2018-03-16 10:45:00",0.56,101
"279","2018-03-16 11:00:00",0.57,105
"280","2018-03-16 11:15:00",0.56,101
"281","2018-03-16 11:30:00",0.55,110
"282","2018-03-16 11:45:00",0.56,102
"283","2018-03-16 12:00:00",0.57,97.7
"284","2018-03-16 12:15:00",0.56,106
"285","2018-03-16 12:30:00",0.56,108
"286","2018-03-16 12:45:00",0.52,103
"287","2018-03-16 13:00:00",0.55,106
"288","2018-03-16 13:15:00",0.52,102
"289","2018-03-16 13:30:00",0.54,99.7
"290","2018-03-16 13:45:00",0.51,97.6
"291","2018-03-16 14:00:00",0.51,97.9
"292","2018-03-16 14:15:00",0.49,98.6
"293","2018-03-16 14:30:00",0.49,96.7
"294","2018-03-16 14:45:00",0.47,93.1
"295","2018-03-16 15:00:00",0.48,90
"296","2018-03-16 15:15:00",0.47,92.6
"297","2018-03-16 15:30:00",0.47,81.9
"298","2018-03-16 15:45:00",0.48,90.7
"299","2018-03-16 16:00:00",0.46,86.1
"300","2018-03-16 16:15:00",0.47,81.1
"301","2018-03-16 16:30:00",0.48,80.5
"302","2018-03-16 16:45:00",0.48,76.6
"303","2018-03-16 17:00:00",0.46,72.8
"304","2018-03-16 17:15:00",0.47,67.3
"305","2018-03-16 17:30:00",0.48,52.6
"306","2018-03-16 17:45:00",0.48,42.1
"307","2018-03-16 18:00:00",0.47,20.8
"308","2018-03-16 18:15:00",0.5,-1.5
