"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2014-12-18 05:00:00",0.53,13.2
"2","2014-12-18 05:15:00",0.53,13.2
"3","2014-12-18 05:30:00",0.49,13.2
"4","2014-12-18 05:45:00",0.5,13.2
"5","2014-12-18 06:00:00",0.56,13.2
"6","2014-12-18 06:15:00",0.56,13.2
"7","2014-12-18 06:30:00",0.51,13.2
"8","2014-12-18 06:45:00",0.55,13.2
"9","2014-12-18 07:00:00",0.58,13.2
"10","2014-12-18 07:15:00",0.53,13.2
"11","2014-12-18 07:30:00",0.48,13.2
"12","2014-12-18 07:45:00",0.55,13.2
"13","2014-12-18 08:00:00",0.54,13.2
"14","2014-12-18 08:15:00",0.51,13.2
"15","2014-12-18 08:30:00",0.52,13.2
"16","2014-12-18 08:45:00",0.54,13.2
"17","2014-12-18 09:00:00",0.5,13.2
"18","2014-12-18 09:15:00",0.53,13.2
"19","2014-12-18 09:30:00",0.49,13.2
"20","2014-12-18 09:45:00",0.51,13.2
"21","2014-12-18 10:00:00",0.55,13.2
"22","2014-12-18 10:15:00",0.47,13.2
"23","2014-12-18 10:30:00",0.52,13.2
"24","2014-12-18 10:45:00",0.53,13.2
"25","2014-12-18 11:00:00",0.51,13.2
"26","2014-12-18 11:15:00",0.53,13.2
"27","2014-12-18 11:30:00",0.53,13.2
"28","2014-12-18 11:45:00",0.52,13.2
"29","2014-12-18 12:00:00",0.51,13.2
"30","2014-12-18 12:15:00",0.47,13.2
"31","2014-12-18 12:30:00",0.53,13.2
"32","2014-12-18 12:45:00",0.52,13.2
"33","2014-12-18 13:00:00",0.51,13.2
"34","2014-12-18 13:15:00",0.54,13.2
"35","2014-12-18 13:30:00",0.47,13.2
"36","2014-12-18 13:45:00",0.52,13.2
"37","2014-12-18 14:00:00",0.45,13.2
"38","2014-12-18 14:15:00",0.49,13.2
"39","2014-12-18 14:30:00",0.5,13.2
"40","2014-12-18 14:45:00",0.49,13.2
"41","2014-12-18 15:00:00",0.48,13.2
"42","2014-12-18 15:15:00",0.49,13.2
"43","2014-12-18 15:30:00",0.49,13.2
"44","2014-12-18 15:45:00",0.52,13.2
"45","2014-12-18 16:00:00",0.48,13.2
"46","2014-12-18 16:15:00",0.52,13.2
"47","2014-12-18 16:30:00",0.45,13.2
"48","2014-12-18 16:45:00",0.48,13.2
"49","2014-12-18 17:00:00",0.46,13.2
"50","2014-12-18 17:15:00",0.48,13.2
"51","2014-12-18 17:30:00",0.52,13.2
"52","2014-12-18 17:45:00",0.47,13.2
"53","2014-12-18 18:00:00",0.49,13.2
"54","2014-12-18 18:15:00",0.46,13.2
"55","2014-12-18 18:30:00",0.52,13.2
"56","2014-12-18 18:45:00",0.46,13.2
"57","2014-12-18 19:00:00",0.47,13.2
"58","2014-12-18 19:15:00",0.45,13.2
"59","2014-12-18 19:30:00",0.49,13.2
"60","2014-12-18 19:45:00",0.53,13.2
"61","2014-12-18 20:00:00",0.52,13.2
"62","2014-12-18 20:15:00",0.5,13.2
"63","2014-12-18 20:30:00",0.51,13.2
"64","2014-12-18 20:45:00",0.52,13.2
"65","2014-12-18 21:00:00",0.46,13.2
"66","2014-12-18 21:15:00",0.53,13.2
"67","2014-12-18 21:30:00",0.49,13.2
"68","2014-12-18 21:45:00",0.58,13.2
"69","2014-12-18 22:00:00",0.53,13.2
"70","2014-12-18 22:15:00",0.53,13.2
"71","2014-12-18 22:30:00",0.53,13.2
"72","2014-12-18 22:45:00",0.51,13.2
"73","2014-12-18 23:00:00",0.53,13.2
"74","2014-12-18 23:15:00",0.5,13.2
"75","2014-12-18 23:30:00",0.56,13.2
"76","2014-12-18 23:45:00",0.47,13.2
"77","2014-12-19 00:00:00",0.51,13.2
"78","2014-12-19 00:15:00",0.51,13.2
"79","2014-12-19 00:30:00",0.54,13.2
"80","2014-12-19 00:45:00",0.51,13.2
"81","2014-12-19 01:00:00",0.53,13.2
"82","2014-12-19 01:15:00",0.48,13.2
"83","2014-12-19 01:30:00",0.54,13.2
"84","2014-12-19 01:45:00",0.53,13.2
"85","2014-12-19 02:00:00",0.48,13.2
"86","2014-12-19 02:15:00",0.46,13.2
"87","2014-12-19 02:30:00",0.53,13.2
"88","2014-12-19 02:45:00",0.49,13.2
"89","2014-12-19 03:00:00",0.59,13.2
"90","2014-12-19 03:15:00",0.56,13.2
"91","2014-12-19 03:30:00",0.56,13.2
"92","2014-12-19 03:45:00",0.52,13.2
"93","2014-12-19 04:00:00",0.53,13.2
"94","2014-12-19 04:15:00",0.54,13.2
"95","2014-12-19 04:30:00",0.55,13.2
