"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2017-10-12 16:30:00",0.71,93.2
"2","2017-10-12 16:45:00",0.7,93.8
"3","2017-10-12 17:00:00",0.71,94.2
"4","2017-10-12 17:15:00",0.71,94.9
"5","2017-10-12 17:30:00",0.7,95.5
"6","2017-10-12 17:45:00",0.72,96.4
"7","2017-10-12 18:00:00",0.7,97
"8","2017-10-12 18:15:00",0.7,97.4
"9","2017-10-12 18:30:00",0.7,97.8
"10","2017-10-12 18:45:00",0.69,98.5
"11","2017-10-12 19:00:00",0.7,99.1
"12","2017-10-12 19:15:00",0.69,99.7
"13","2017-10-12 19:30:00",0.69,100
"14","2017-10-12 19:45:00",0.7,100
"15","2017-10-12 20:00:00",0.7,101
"16","2017-10-12 20:15:00",0.69,102
"17","2017-10-12 20:30:00",0.7,103
"18","2017-10-12 20:45:00",0.71,103
"19","2017-10-12 21:00:00",0.71,104
"20","2017-10-12 21:15:00",0.71,104
"21","2017-10-12 21:30:00",0.7,105
"22","2017-10-12 21:45:00",0.69,105
"23","2017-10-12 22:00:00",0.7,106
"24","2017-10-12 22:15:00",0.71,106
"25","2017-10-12 22:30:00",0.71,107
"26","2017-10-12 22:45:00",0.7,108
"27","2017-10-12 23:00:00",0.71,108
"28","2017-10-12 23:15:00",0.69,109
"29","2017-10-12 23:30:00",0.7,109
"30","2017-10-12 23:45:00",0.7,110
"31","2017-10-13 00:00:00",0.69,110
"32","2017-10-13 00:15:00",0.7,110
"33","2017-10-13 00:30:00",0.69,111
"34","2017-10-13 00:45:00",0.7,111
"35","2017-10-13 01:00:00",0.69,110
"36","2017-10-13 01:15:00",0.7,110
"37","2017-10-13 01:30:00",0.71,109
"38","2017-10-13 01:45:00",0.71,108
"39","2017-10-13 02:00:00",0.71,108
"40","2017-10-13 02:15:00",0.7,107
"41","2017-10-13 02:30:00",0.71,106
"42","2017-10-13 02:45:00",0.7,105
"43","2017-10-13 03:00:00",0.71,105
"44","2017-10-13 03:15:00",0.7,104
"45","2017-10-13 03:30:00",0.71,104
"46","2017-10-13 03:45:00",0.71,103
"47","2017-10-13 04:00:00",0.72,103
"48","2017-10-13 04:15:00",0.71,103
"49","2017-10-13 04:30:00",0.71,103
"50","2017-10-13 04:45:00",0.7,103
"51","2017-10-13 05:00:00",0.7,103
"52","2017-10-13 05:15:00",0.71,103
"53","2017-10-13 05:30:00",0.71,104
"54","2017-10-13 05:45:00",0.7,104
"55","2017-10-13 06:00:00",0.7,105
"56","2017-10-13 06:15:00",0.69,105
"57","2017-10-13 06:30:00",0.7,105
"58","2017-10-13 06:45:00",0.72,106
"59","2017-10-13 07:00:00",0.7,106
"60","2017-10-13 07:15:00",0.7,107
"61","2017-10-13 07:30:00",0.7,107
"62","2017-10-13 07:45:00",0.69,108
"63","2017-10-13 08:00:00",0.71,109
"64","2017-10-13 08:15:00",0.7,109
"65","2017-10-13 08:30:00",0.7,110
"66","2017-10-13 08:45:00",0.69,111
"67","2017-10-13 09:00:00",0.72,111
"68","2017-10-13 09:15:00",0.7,111
"69","2017-10-13 09:30:00",0.7,111
"70","2017-10-13 09:45:00",0.71,113
"71","2017-10-13 10:00:00",0.7,113
"72","2017-10-13 10:15:00",0.71,113
"73","2017-10-13 10:30:00",0.7,113
"74","2017-10-13 10:45:00",0.69,113
"75","2017-10-13 11:00:00",0.69,113
"76","2017-10-13 11:15:00",0.69,112
"77","2017-10-13 11:30:00",0.69,111
"78","2017-10-13 11:45:00",0.7,111
"79","2017-10-13 12:00:00",0.7,110
"80","2017-10-13 12:15:00",0.69,109
"81","2017-10-13 12:30:00",0.7,108
"82","2017-10-13 12:45:00",0.72,107
"83","2017-10-13 13:00:00",0.69,107
"84","2017-10-13 13:15:00",0.7,106
"85","2017-10-13 13:30:00",0.69,105
"86","2017-10-13 13:45:00",0.72,104
"87","2017-10-13 14:00:00",0.7,103
"88","2017-10-13 14:15:00",0.7,103
"89","2017-10-13 14:30:00",0.69,102
"90","2017-10-13 14:45:00",0.69,101
