"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2017-01-26 18:15:00",0.47,-3.39
"2","2017-01-26 18:30:00",0.47,-27.8
"3","2017-01-26 18:45:00",0.46,-35.3
"4","2017-01-26 19:00:00",0.45,-36.4
"5","2017-01-26 19:15:00",0.44,-31
"6","2017-01-26 19:30:00",0.4,-35.4
"7","2017-01-26 19:45:00",0.4,-18.5
"8","2017-01-26 20:00:00",0.38,-22.7
"9","2017-01-26 20:15:00",0.41,-4.39
"10","2017-01-26 20:30:00",0.4,7.03
"11","2017-01-26 20:45:00",0.39,3.25
"12","2017-01-26 21:00:00",0.41,19
"13","2017-01-26 21:15:00",0.4,50.2
"14","2017-01-26 21:30:00",0.45,76.9
"15","2017-01-26 21:45:00",0.52,75.8
"16","2017-01-26 22:00:00",0.51,105
"17","2017-01-26 22:15:00",0.48,120
"18","2017-01-26 22:30:00",0.5,121
"19","2017-01-26 22:45:00",0.49,125
"20","2017-01-26 23:00:00",0.5,111
"21","2017-01-26 23:15:00",0.49,131
"22","2017-01-26 23:30:00",0.5,127
"23","2017-01-26 23:45:00",0.49,135
"24","2017-01-27 00:00:00",0.48,125
"25","2017-01-27 00:15:00",0.48,145
"26","2017-01-27 00:30:00",0.48,140
"27","2017-01-27 00:45:00",0.46,139
"28","2017-01-27 01:00:00",0.45,144
"29","2017-01-27 01:15:00",0.46,138
"30","2017-01-27 01:30:00",0.46,140
"31","2017-01-27 01:45:00",0.47,133
"32","2017-01-27 02:00:00",0.47,128
"33","2017-01-27 02:15:00",0.47,102
"34","2017-01-27 02:30:00",0.47,76
"35","2017-01-27 02:45:00",0.47,19
"36","2017-01-27 03:00:00",0.47,-9.38
"37","2017-01-27 03:15:00",0.46,-40.7
"38","2017-01-27 03:30:00",0.47,-30.5
"39","2017-01-27 03:45:00",0.45,-45.3
"40","2017-01-27 04:00:00",0.48,-42.1
"41","2017-01-27 04:15:00",0.47,-41.2
"42","2017-01-27 04:30:00",0.47,-43
"43","2017-01-27 04:45:00",0.48,-38.3
"44","2017-01-27 05:00:00",0.46,-30
"45","2017-01-27 05:15:00",0.45,-48.1
"46","2017-01-27 05:30:00",0.46,-35.5
"47","2017-01-27 05:45:00",0.46,-22.3
"48","2017-01-27 06:00:00",0.44,-34.2
"49","2017-01-27 06:15:00",0.43,-50.4
"50","2017-01-27 06:30:00",0.41,-43.8
"51","2017-01-27 06:45:00",0.4,-36.8
"52","2017-01-27 07:00:00",0.39,-33.5
"53","2017-01-27 07:15:00",0.38,-25.7
"54","2017-01-27 07:30:00",0.42,-21.8
"55","2017-01-27 07:45:00",0.4,-13.4
