"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2017-09-28 13:30:00",0.46,430
"2","2017-09-28 13:45:00",0.46,444
"3","2017-09-28 14:00:00",0.46,511
"4","2017-09-28 14:15:00",0.46,502
"5","2017-09-28 14:30:00",0.46,479
"6","2017-09-28 14:45:00",0.46,477
"7","2017-09-28 15:00:00",0.46,474
"8","2017-09-28 15:15:00",0.45,456
"9","2017-09-28 15:30:00",0.46,462
"10","2017-09-28 15:45:00",0.45,459
"11","2017-09-28 16:00:00",0.45,464
"12","2017-09-28 16:15:00",0.45,450
"13","2017-09-28 16:30:00",0.45,463
"14","2017-09-28 16:45:00",0.45,461
"15","2017-09-28 17:00:00",0.45,433
"16","2017-09-28 17:15:00",0.45,429
"17","2017-09-28 17:30:00",0.45,404
"18","2017-09-28 17:45:00",0.44,399
"19","2017-09-28 18:00:00",0.45,410
"20","2017-09-28 18:15:00",0.44,398
"21","2017-09-28 18:30:00",0.44,412
"22","2017-09-28 18:45:00",0.44,409
"23","2017-09-28 19:00:00",0.44,423
"24","2017-09-28 19:15:00",0.44,405
"25","2017-09-28 19:30:00",0.43,384
"26","2017-09-28 19:45:00",0.43,416
"27","2017-09-28 20:00:00",0.43,435
"28","2017-09-28 20:15:00",0.43,435
"29","2017-09-28 20:30:00",0.43,437
"30","2017-09-28 20:45:00",0.43,432
"31","2017-09-28 21:00:00",0.42,424
"32","2017-09-28 21:15:00",0.42,428
"33","2017-09-28 21:30:00",0.42,414
"34","2017-09-28 21:45:00",0.42,439
"35","2017-09-28 22:00:00",0.42,413
"36","2017-09-28 22:15:00",0.42,438
"37","2017-09-28 22:30:00",0.42,416
"38","2017-09-28 22:45:00",0.42,435
"39","2017-09-28 23:00:00",0.42,430
"40","2017-09-28 23:15:00",0.42,445
"41","2017-09-28 23:30:00",0.42,426
"42","2017-09-28 23:45:00",0.42,462
"43","2017-09-29 00:00:00",0.43,459
"44","2017-09-29 00:15:00",0.43,436
"45","2017-09-29 00:30:00",0.43,437
"46","2017-09-29 00:45:00",0.43,439
"47","2017-09-29 01:00:00",0.43,433
"48","2017-09-29 01:15:00",0.43,449
"49","2017-09-29 01:30:00",0.43,462
"50","2017-09-29 01:45:00",0.43,460
"51","2017-09-29 02:00:00",0.44,449
"52","2017-09-29 02:15:00",0.44,430
"53","2017-09-29 02:30:00",0.44,438
"54","2017-09-29 02:45:00",0.44,449
"55","2017-09-29 03:00:00",0.44,445
"56","2017-09-29 03:15:00",0.45,453
"57","2017-09-29 03:30:00",0.44,434
"58","2017-09-29 03:45:00",0.45,464
"59","2017-09-29 04:00:00",0.45,450
"60","2017-09-29 04:15:00",0.45,425
"61","2017-09-29 04:30:00",0.45,420
"62","2017-09-29 04:45:00",0.45,431
"63","2017-09-29 05:00:00",0.46,412
"64","2017-09-29 05:15:00",0.45,438
"65","2017-09-29 05:30:00",0.45,419
"66","2017-09-29 05:45:00",0.46,430
"67","2017-09-29 06:00:00",0.46,467
"68","2017-09-29 06:15:00",0.46,434
"69","2017-09-29 06:30:00",0.46,439
"70","2017-09-29 06:45:00",0.46,434
"71","2017-09-29 07:00:00",0.46,412
"72","2017-09-29 07:15:00",0.46,415
"73","2017-09-29 07:30:00",0.46,431
"74","2017-09-29 07:45:00",0.46,422
"75","2017-09-29 08:00:00",0.46,438
"76","2017-09-29 08:15:00",0.46,430
"77","2017-09-29 08:30:00",0.46,427
"78","2017-09-29 08:45:00",0.46,455
"79","2017-09-29 09:00:00",0.46,424
"80","2017-09-29 09:15:00",0.46,437
"81","2017-09-29 09:30:00",0.46,405
"82","2017-09-29 09:45:00",0.46,419
"83","2017-09-29 10:00:00",0.46,408
"84","2017-09-29 10:15:00",0.46,419
"85","2017-09-29 10:30:00",0.46,385
"86","2017-09-29 10:45:00",0.46,410
"87","2017-09-29 11:00:00",0.46,428
"88","2017-09-29 11:15:00",0.46,425
"89","2017-09-29 11:30:00",0.46,427
"90","2017-09-29 11:45:00",0.46,427
"91","2017-09-29 12:00:00",0.46,427
"92","2017-09-29 12:15:00",0.46,402
"93","2017-09-29 12:30:00",0.46,397
"94","2017-09-29 12:45:00",0.45,397
"95","2017-09-29 13:00:00",0.45,400
"96","2017-09-29 13:15:00",0.46,392
"97","2017-09-29 13:30:00",0.45,375
"98","2017-09-29 13:45:00",0.45,369
"99","2017-09-29 14:00:00",0.46,383
"100","2017-09-29 14:15:00",0.45,400
"101","2017-09-29 14:30:00",0.45,406
"102","2017-09-29 14:45:00",0.45,400
"103","2017-09-29 15:00:00",0.45,400
"104","2017-09-29 15:15:00",0.45,395
"105","2017-09-29 15:30:00",0.45,418
"106","2017-09-29 15:45:00",0.45,431
"107","2017-09-29 16:00:00",0.45,423
