"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2014-10-10 16:15:00",0.35,84.7
"2","2014-10-10 16:30:00",0.36,77.4
"3","2014-10-10 16:45:00",0.36,82.9
"4","2014-10-10 17:00:00",0.36,77.2
"5","2014-10-10 17:15:00",0.37,79.2
"6","2014-10-10 17:30:00",0.36,77.1
"7","2014-10-10 17:45:00",0.35,76.9
"8","2014-10-10 18:00:00",0.37,74.8
"9","2014-10-10 18:15:00",0.35,74.8
"10","2014-10-10 18:30:00",0.36,76.4
"11","2014-10-10 18:45:00",0.36,74.7
"12","2014-10-10 19:00:00",0.38,82.4
"13","2014-10-10 19:15:00",0.37,80.5
"14","2014-10-10 19:30:00",0.37,78.2
"15","2014-10-10 19:45:00",0.36,80.3
"16","2014-10-10 20:00:00",0.37,84.2
"17","2014-10-10 20:15:00",0.37,70.5
"18","2014-10-10 20:30:00",0.36,74.5
"19","2014-10-10 20:45:00",0.37,70.6
"20","2014-10-10 21:00:00",0.36,66.8
"21","2014-10-10 21:15:00",0.35,66.6
"22","2014-10-10 21:30:00",0.35,74.4
"23","2014-10-10 21:45:00",0.36,74.4
"24","2014-10-10 22:00:00",0.37,74.5
"25","2014-10-10 22:15:00",0.35,70.5
"26","2014-10-10 22:30:00",0.37,62.8
"27","2014-10-10 22:45:00",0.37,66.6
"28","2014-10-10 23:00:00",0.36,66.6
"29","2014-10-10 23:15:00",0.36,62.9
"30","2014-10-10 23:30:00",0.35,62.9
"31","2014-10-10 23:45:00",0.37,62.9
"32","2014-10-11 00:00:00",0.36,70.6
"33","2014-10-11 00:15:00",0.36,72.6
"34","2014-10-11 00:30:00",0.37,61
"35","2014-10-11 00:45:00",0.37,68.9
"36","2014-10-11 01:00:00",0.36,68.7
"37","2014-10-11 01:15:00",0.36,63
"38","2014-10-11 01:30:00",0.36,70.8
"39","2014-10-11 01:45:00",0.36,68.9
"40","2014-10-11 02:00:00",0.35,61.1
"41","2014-10-11 02:15:00",0.36,61.1
"42","2014-10-11 02:30:00",0.36,51.5
"43","2014-10-11 02:45:00",0.35,69
"44","2014-10-11 03:00:00",0.35,66.9
"45","2014-10-11 03:15:00",0.36,65.1
"46","2014-10-11 03:30:00",0.36,70.9
"47","2014-10-11 03:45:00",0.35,74.8
"48","2014-10-11 04:00:00",0.34,74.8
"49","2014-10-11 04:15:00",0.36,75
