"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2013-07-24 16:15:00",0.46,1770
"2","2013-07-24 16:30:00",0.46,1890
"3","2013-07-24 16:45:00",0.47,2080
"4","2013-07-24 17:00:00",0.45,1810
"5","2013-07-24 17:15:00",0.46,2110
"6","2013-07-24 17:30:00",0.43,1960
"7","2013-07-24 17:45:00",0.46,2110
"8","2013-07-24 18:00:00",0.44,2040
"9","2013-07-24 18:15:00",0.45,2070
"10","2013-07-24 18:30:00",0.46,1880
"11","2013-07-24 18:45:00",0.46,2080
"12","2013-07-24 19:00:00",0.45,2080
"13","2013-07-24 19:15:00",0.45,1960
"14","2013-07-24 19:30:00",0.47,2070
"15","2013-07-24 19:45:00",0.46,2300
"16","2013-07-24 20:00:00",0.48,2000
"17","2013-07-24 20:15:00",0.44,2110
"18","2013-07-24 20:30:00",0.46,2150
"19","2013-07-24 20:45:00",0.46,2040
"20","2013-07-24 21:00:00",0.46,2270
"21","2013-07-24 21:15:00",0.45,2340
"22","2013-07-24 21:30:00",0.45,2150
"23","2013-07-24 21:45:00",0.45,2340
"24","2013-07-24 22:00:00",0.45,2230
"25","2013-07-24 22:15:00",0.46,1960
"26","2013-07-24 22:30:00",0.47,2300
"27","2013-07-24 22:45:00",0.46,2380
"28","2013-07-24 23:00:00",0.45,2230
"29","2013-07-24 23:15:00",0.47,2570
"30","2013-07-24 23:30:00",0.47,2080
"31","2013-07-24 23:45:00",0.46,2420
"32","2013-07-25 00:00:00",0.46,2300
"33","2013-07-25 00:15:00",0.45,2150
"34","2013-07-25 00:30:00",0.44,2230
"35","2013-07-25 00:45:00",0.46,2190
"36","2013-07-25 01:00:00",0.45,2110
"37","2013-07-25 01:15:00",0.44,2150
"38","2013-07-25 01:30:00",0.44,2380
"39","2013-07-25 01:45:00",0.45,2190
"40","2013-07-25 02:00:00",0.45,2490
"41","2013-07-25 02:15:00",0.46,2260
"42","2013-07-25 02:30:00",0.46,2150
"43","2013-07-25 02:45:00",0.44,2450
"44","2013-07-25 03:00:00",0.45,2230
"45","2013-07-25 03:15:00",0.48,2260
"46","2013-07-25 03:30:00",0.44,2300
"47","2013-07-25 03:45:00",0.45,2190
"48","2013-07-25 04:00:00",0.46,2370
"49","2013-07-25 04:15:00",0.46,2190
"50","2013-07-25 04:30:00",0.47,2450
"51","2013-07-25 04:45:00",0.44,2410
"52","2013-07-25 05:00:00",0.45,2220
"53","2013-07-25 05:15:00",0.45,2190
"54","2013-07-25 05:30:00",0.47,2490
"55","2013-07-25 05:45:00",0.46,2560
"56","2013-07-25 06:00:00",0.46,2190
"57","2013-07-25 06:15:00",0.44,2300
"58","2013-07-25 06:30:00",0.45,2260
"59","2013-07-25 06:45:00",0.46,2410
"60","2013-07-25 07:00:00",0.44,2450
"61","2013-07-25 07:15:00",0.44,2370
"62","2013-07-25 07:30:00",0.47,2410
"63","2013-07-25 07:45:00",0.45,2190
"64","2013-07-25 08:00:00",0.44,2370
"65","2013-07-25 08:15:00",0.43,2450
"66","2013-07-25 08:30:00",0.45,2370
"67","2013-07-25 08:45:00",0.48,2410
"68","2013-07-25 09:00:00",0.46,2600
"69","2013-07-25 09:15:00",0.46,2220
"70","2013-07-25 09:30:00",0.44,2450
"71","2013-07-25 09:45:00",0.45,2450
"72","2013-07-25 10:00:00",0.45,2340
"73","2013-07-25 10:15:00",0.47,2600
"74","2013-07-25 10:30:00",0.46,2450
"75","2013-07-25 10:45:00",0.45,2490
"76","2013-07-25 11:00:00",0.44,2490
"77","2013-07-25 11:15:00",0.45,2410
"78","2013-07-25 11:30:00",0.45,2530
"79","2013-07-25 11:45:00",0.46,2190
"80","2013-07-25 12:00:00",0.47,2370
"81","2013-07-25 12:15:00",0.46,2370
"82","2013-07-25 12:30:00",0.45,2000
"83","2013-07-25 12:45:00",0.45,2150
"84","2013-07-25 13:00:00",0.43,2450
"85","2013-07-25 13:15:00",0.47,2190
"86","2013-07-25 13:30:00",0.46,2180
"87","2013-07-25 13:45:00",0.46,2340
"88","2013-07-25 14:00:00",0.45,2410
"89","2013-07-25 14:15:00",0.46,2370
"90","2013-07-25 14:30:00",0.45,1730
"91","2013-07-25 14:45:00",0.47,2340
"92","2013-07-25 15:00:00",0.46,2340
"93","2013-07-25 15:15:00",0.46,2300
"94","2013-07-25 15:30:00",0.45,1990
"95","2013-07-25 15:45:00",0.44,2110
"96","2013-07-25 16:00:00",0.48,2330
"97","2013-07-25 16:15:00",0.47,2330
"98","2013-07-25 16:30:00",0.45,2330
"99","2013-07-25 16:45:00",0.47,2400
"100","2013-07-25 17:00:00",0.43,2180
"101","2013-07-25 17:15:00",0.45,2260
"102","2013-07-25 17:30:00",0.46,2070
"103","2013-07-25 17:45:00",0.45,2330
"104","2013-07-25 18:00:00",0.46,2290
"105","2013-07-25 18:15:00",0.46,2370
"106","2013-07-25 18:30:00",0.45,2290
"107","2013-07-25 18:45:00",0.46,2290
"108","2013-07-25 19:00:00",0.46,1840
"109","2013-07-25 19:15:00",0.46,2150
"110","2013-07-25 19:30:00",0.46,2250
"111","2013-07-25 19:45:00",0.45,2300
"112","2013-07-25 20:00:00",0.46,2330
"113","2013-07-25 20:15:00",0.47,2440
"114","2013-07-25 20:30:00",0.46,2140
"115","2013-07-25 20:45:00",0.46,2140
"116","2013-07-25 21:00:00",0.46,2180
"117","2013-07-25 21:15:00",0.45,2370
"118","2013-07-25 21:30:00",0.47,2370
"119","2013-07-25 21:45:00",0.47,2260
"120","2013-07-25 22:00:00",0.48,2260
"121","2013-07-25 22:15:00",0.47,2370
"122","2013-07-25 22:30:00",0.43,2140
"123","2013-07-25 22:45:00",0.47,2180
"124","2013-07-25 23:00:00",0.44,2070
"125","2013-07-25 23:15:00",0.46,2480
"126","2013-07-25 23:30:00",0.45,2220
"127","2013-07-25 23:45:00",0.47,2370
"128","2013-07-26 00:00:00",0.45,2260
"129","2013-07-26 00:15:00",0.45,2330
"130","2013-07-26 00:30:00",0.46,2410
"131","2013-07-26 00:45:00",0.46,2290
"132","2013-07-26 01:00:00",0.43,2250
"133","2013-07-26 01:15:00",0.45,2220
"134","2013-07-26 01:30:00",0.46,2180
"135","2013-07-26 01:45:00",0.43,2330
"136","2013-07-26 02:00:00",0.45,2250
"137","2013-07-26 02:15:00",0.42,2370
"138","2013-07-26 02:30:00",0.46,2370
"139","2013-07-26 02:45:00",0.47,2260
"140","2013-07-26 03:00:00",0.45,2140
"141","2013-07-26 03:15:00",0.45,2220
"142","2013-07-26 03:30:00",0.47,2250
"143","2013-07-26 03:45:00",0.44,2330
"144","2013-07-26 04:00:00",0.45,2180
"145","2013-07-26 04:15:00",0.44,2250
"146","2013-07-26 04:30:00",0.44,2520
"147","2013-07-26 04:45:00",0.47,2550
"148","2013-07-26 05:00:00",0.45,2590
"149","2013-07-26 05:15:00",0.45,2440
"150","2013-07-26 05:30:00",0.45,2590
"151","2013-07-26 05:45:00",0.42,2330
"152","2013-07-26 06:00:00",0.46,2250
"153","2013-07-26 06:15:00",0.44,2290
"154","2013-07-26 06:30:00",0.43,2370
"155","2013-07-26 06:45:00",0.44,2630
"156","2013-07-26 07:00:00",0.46,2400
"157","2013-07-26 07:15:00",0.47,2370
"158","2013-07-26 07:30:00",0.45,2400
"159","2013-07-26 07:45:00",0.43,2480
"160","2013-07-26 08:00:00",0.44,2480
"161","2013-07-26 08:15:00",0.46,2370
"162","2013-07-26 08:30:00",0.47,2520
"163","2013-07-26 08:45:00",0.44,2550
"164","2013-07-26 09:00:00",0.45,2520
"165","2013-07-26 09:15:00",0.46,2400
"166","2013-07-26 09:30:00",0.41,2250
"167","2013-07-26 09:45:00",0.46,2030
"168","2013-07-26 10:00:00",0.44,2400
"169","2013-07-26 10:15:00",0.46,2480
"170","2013-07-26 10:30:00",0.45,2480
"171","2013-07-26 10:45:00",0.45,2550
"172","2013-07-26 11:00:00",0.4,2330
"173","2013-07-26 11:15:00",0.45,2290
"174","2013-07-26 11:30:00",0.44,2220
"175","2013-07-26 11:45:00",0.44,2180
"176","2013-07-26 12:00:00",0.45,2400
"177","2013-07-26 12:15:00",0.44,2480
"178","2013-07-26 12:30:00",0.44,2370
"179","2013-07-26 12:45:00",0.42,2070
"180","2013-07-26 13:00:00",0.44,2180
"181","2013-07-26 13:15:00",0.43,2140
"182","2013-07-26 13:30:00",0.45,2250
"183","2013-07-26 13:45:00",0.47,2060
"184","2013-07-26 14:00:00",0.44,2030
"185","2013-07-26 14:15:00",0.43,2100
"186","2013-07-26 14:30:00",0.45,2180
"187","2013-07-26 14:45:00",0.45,2330
"188","2013-07-26 15:00:00",0.43,2250
"189","2013-07-26 15:15:00",0.44,2140
"190","2013-07-26 15:30:00",0.44,2100
"191","2013-07-26 15:45:00",0.43,2400
"192","2013-07-26 16:00:00",0.42,2180
"193","2013-07-26 16:15:00",0.4,2290
"194","2013-07-26 16:30:00",0.42,2290
