"","X","agency_cd.x","site_no.x","dateTime","Flow_Inst","Flow_Inst_cd","tz_cd.x","agency_cd.y","site_no.y","Nitrate_mgl","X_99133_Inst_cd","tz_cd.y"
"1",1,"USGS",2250030,"2014-12-02 17:15:00",130,"A","UTC","USGS",2250030,0.24,"A","UTC"
"2",2,"USGS",2250030,"2014-12-02 17:30:00",122,"A","UTC","USGS",2250030,0.24,"A","UTC"
"3",3,"USGS",2250030,"2014-12-02 17:45:00",115,"A","UTC","USGS",2250030,0.25,"A","UTC"
"4",4,"USGS",2250030,"2014-12-02 18:00:00",121,"A","UTC","USGS",2250030,0.25,"A","UTC"
"5",5,"USGS",2250030,"2014-12-02 18:15:00",99,"A","UTC","USGS",2250030,0.25,"A","UTC"
"6",6,"USGS",2250030,"2014-12-02 18:30:00",102,"A","UTC","USGS",2250030,0.25,"A","UTC"
"7",7,"USGS",2250030,"2014-12-02 18:45:00",110,"A","UTC","USGS",2250030,0.26,"A","UTC"
"8",8,"USGS",2250030,"2014-12-02 19:00:00",99,"A","UTC","USGS",2250030,0.25,"A","UTC"
"9",9,"USGS",2250030,"2014-12-02 19:15:00",110,"A","UTC","USGS",2250030,0.25,"A","UTC"
"10",10,"USGS",2250030,"2014-12-02 19:30:00",113,"A","UTC","USGS",2250030,0.25,"A","UTC"
"11",11,"USGS",2250030,"2014-12-02 19:45:00",94.9,"A","UTC","USGS",2250030,0.26,"A","UTC"
"12",12,"USGS",2250030,"2014-12-02 20:00:00",84.1,"A","UTC","USGS",2250030,0.26,"A","UTC"
"13",13,"USGS",2250030,"2014-12-02 20:15:00",98.5,"A","UTC","USGS",2250030,0.25,"A","UTC"
"14",14,"USGS",2250030,"2014-12-02 20:30:00",105,"A","UTC","USGS",2250030,0.24,"A","UTC"
"15",15,"USGS",2250030,"2014-12-02 20:45:00",91.7,"A","UTC","USGS",2250030,0.25,"A","UTC"
"16",16,"USGS",2250030,"2014-12-02 21:00:00",88.5,"A","UTC","USGS",2250030,0.26,"A","UTC"
"17",17,"USGS",2250030,"2014-12-02 21:15:00",85.4,"A","UTC","USGS",2250030,0.25,"A","UTC"
"18",18,"USGS",2250030,"2014-12-02 21:30:00",67.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"19",19,"USGS",2250030,"2014-12-02 21:45:00",85.9,"A","UTC","USGS",2250030,0.25,"A","UTC"
"20",20,"USGS",2250030,"2014-12-02 22:00:00",93.2,"A","UTC","USGS",2250030,0.24,"A","UTC"
"21",21,"USGS",2250030,"2014-12-02 22:15:00",79.6,"A","UTC","USGS",2250030,0.25,"A","UTC"
"22",22,"USGS",2250030,"2014-12-02 22:30:00",103,"A","UTC","USGS",2250030,0.24,"A","UTC"
"23",23,"USGS",2250030,"2014-12-02 22:45:00",95.3,"A","UTC","USGS",2250030,0.23,"A","UTC"
"24",24,"USGS",2250030,"2014-12-02 23:00:00",103,"A","UTC","USGS",2250030,0.25,"A","UTC"
"25",25,"USGS",2250030,"2014-12-02 23:15:00",102,"A","UTC","USGS",2250030,0.26,"A","UTC"
"26",26,"USGS",2250030,"2014-12-02 23:30:00",87.3,"A","UTC","USGS",2250030,0.25,"A","UTC"
"27",27,"USGS",2250030,"2014-12-02 23:45:00",76.5,"A","UTC","USGS",2250030,0.26,"A","UTC"
"28",28,"USGS",2250030,"2014-12-03 00:00:00",91.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"29",29,"USGS",2250030,"2014-12-03 00:15:00",95.3,"A","UTC","USGS",2250030,0.25,"A","UTC"
"30",30,"USGS",2250030,"2014-12-03 00:30:00",80.5,"A","UTC","USGS",2250030,0.25,"A","UTC"
"31",31,"USGS",2250030,"2014-12-03 00:45:00",118,"A","UTC","USGS",2250030,0.23,"A","UTC"
"32",32,"USGS",2250030,"2014-12-03 01:00:00",107,"A","UTC","USGS",2250030,0.23,"A","UTC"
"33",33,"USGS",2250030,"2014-12-03 01:15:00",99.1,"A","UTC","USGS",2250030,0.24,"A","UTC"
"34",34,"USGS",2250030,"2014-12-03 01:30:00",110,"A","UTC","USGS",2250030,0.25,"A","UTC"
"35",35,"USGS",2250030,"2014-12-03 01:45:00",106,"A","UTC","USGS",2250030,0.24,"A","UTC"
"36",36,"USGS",2250030,"2014-12-03 02:00:00",99,"A","UTC","USGS",2250030,0.25,"A","UTC"
"37",37,"USGS",2250030,"2014-12-03 02:15:00",128,"A","UTC","USGS",2250030,0.24,"A","UTC"
"38",38,"USGS",2250030,"2014-12-03 02:30:00",138,"A","UTC","USGS",2250030,0.25,"A","UTC"
"39",39,"USGS",2250030,"2014-12-03 02:45:00",108,"A","UTC","USGS",2250030,0.26,"A","UTC"
"40",40,"USGS",2250030,"2014-12-03 03:00:00",93.8,"A","UTC","USGS",2250030,0.26,"A","UTC"
"41",41,"USGS",2250030,"2014-12-03 03:15:00",119,"A","UTC","USGS",2250030,0.25,"A","UTC"
"42",42,"USGS",2250030,"2014-12-03 03:30:00",108,"A","UTC","USGS",2250030,0.24,"A","UTC"
"43",43,"USGS",2250030,"2014-12-03 03:45:00",115,"A","UTC","USGS",2250030,0.25,"A","UTC"
"44",44,"USGS",2250030,"2014-12-03 04:00:00",118,"A","UTC","USGS",2250030,0.24,"A","UTC"
"45",45,"USGS",2250030,"2014-12-03 04:15:00",106,"A","UTC","USGS",2250030,0.24,"A","UTC"
"46",46,"USGS",2250030,"2014-12-03 04:30:00",103,"A","UTC","USGS",2250030,0.23,"A","UTC"
"47",47,"USGS",2250030,"2014-12-03 04:45:00",107,"A","UTC","USGS",2250030,0.24,"A","UTC"
"48",48,"USGS",2250030,"2014-12-03 05:00:00",99.4,"A","UTC","USGS",2250030,0.22,"A","UTC"
"49",49,"USGS",2250030,"2014-12-03 05:15:00",110,"A","UTC","USGS",2250030,0.25,"A","UTC"
"50",50,"USGS",2250030,"2014-12-03 05:30:00",110,"A","UTC","USGS",2250030,0.25,"A","UTC"
"51",51,"USGS",2250030,"2014-12-03 05:45:00",110,"A","UTC","USGS",2250030,0.24,"A","UTC"
"52",52,"USGS",2250030,"2014-12-03 06:00:00",106,"A","UTC","USGS",2250030,0.25,"A","UTC"
"53",53,"USGS",2250030,"2014-12-03 06:15:00",102,"A","UTC","USGS",2250030,0.26,"A","UTC"
"54",54,"USGS",2250030,"2014-12-03 06:30:00",99,"A","UTC","USGS",2250030,0.26,"A","UTC"
"55",55,"USGS",2250030,"2014-12-03 06:45:00",106,"A","UTC","USGS",2250030,0.25,"A","UTC"
"56",56,"USGS",2250030,"2014-12-03 07:00:00",109,"A","UTC","USGS",2250030,0.24,"A","UTC"
"57",57,"USGS",2250030,"2014-12-03 07:15:00",98.8,"A","UTC","USGS",2250030,0.25,"A","UTC"
"58",58,"USGS",2250030,"2014-12-03 07:30:00",98.8,"A","UTC","USGS",2250030,0.24,"A","UTC"
"59",59,"USGS",2250030,"2014-12-03 07:45:00",91.8,"A","UTC","USGS",2250030,0.24,"A","UTC"
"60",60,"USGS",2250030,"2014-12-03 08:00:00",103,"A","UTC","USGS",2250030,0.24,"A","UTC"
"61",61,"USGS",2250030,"2014-12-03 08:15:00",92.2,"A","UTC","USGS",2250030,0.23,"A","UTC"
"62",62,"USGS",2250030,"2014-12-03 08:30:00",84.7,"A","UTC","USGS",2250030,0.24,"A","UTC"
"63",63,"USGS",2250030,"2014-12-03 08:45:00",77.9,"A","UTC","USGS",2250030,0.24,"A","UTC"
"64",64,"USGS",2250030,"2014-12-03 09:00:00",89.5,"A","UTC","USGS",2250030,0.24,"A","UTC"
"65",65,"USGS",2250030,"2014-12-03 09:15:00",78.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
"66",66,"USGS",2250030,"2014-12-03 09:30:00",115,"A","UTC","USGS",2250030,0.25,"A","UTC"
"67",67,"USGS",2250030,"2014-12-03 09:45:00",107,"A","UTC","USGS",2250030,0.23,"A","UTC"
"68",68,"USGS",2250030,"2014-12-03 10:00:00",96.6,"A","UTC","USGS",2250030,0.24,"A","UTC"
"69",69,"USGS",2250030,"2014-12-03 10:15:00",100,"A","UTC","USGS",2250030,0.24,"A","UTC"
"70",70,"USGS",2250030,"2014-12-03 10:30:00",111,"A","UTC","USGS",2250030,0.23,"A","UTC"
"71",71,"USGS",2250030,"2014-12-03 10:45:00",89.7,"A","UTC","USGS",2250030,0.25,"A","UTC"
"72",72,"USGS",2250030,"2014-12-03 11:00:00",79,"A","UTC","USGS",2250030,0.25,"A","UTC"
"73",73,"USGS",2250030,"2014-12-03 11:15:00",90.1,"A","UTC","USGS",2250030,0.25,"A","UTC"
"74",74,"USGS",2250030,"2014-12-03 11:30:00",101,"A","UTC","USGS",2250030,0.25,"A","UTC"
"75",75,"USGS",2250030,"2014-12-03 11:45:00",102,"A","UTC","USGS",2250030,0.24,"A","UTC"
"76",76,"USGS",2250030,"2014-12-03 12:00:00",105,"A","UTC","USGS",2250030,0.25,"A","UTC"
"77",77,"USGS",2250030,"2014-12-03 12:15:00",109,"A","UTC","USGS",2250030,0.23,"A","UTC"
"78",78,"USGS",2250030,"2014-12-03 12:30:00",97.9,"A","UTC","USGS",2250030,0.24,"A","UTC"
"79",79,"USGS",2250030,"2014-12-03 12:45:00",79.7,"A","UTC","USGS",2250030,0.23,"A","UTC"
"80",80,"USGS",2250030,"2014-12-03 13:00:00",102,"A","UTC","USGS",2250030,0.23,"A","UTC"
"81",81,"USGS",2250030,"2014-12-03 13:15:00",79.9,"A","UTC","USGS",2250030,0.23,"A","UTC"
