"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2015-12-21 15:30:00",0.25,-13.7
"2","2015-12-21 15:45:00",0.32,-26.8
"3","2015-12-21 16:00:00",0.23,-31.6
"4","2015-12-21 16:15:00",0.27,-24.1
"5","2015-12-21 16:30:00",0.29,-23.1
"6","2015-12-21 16:45:00",0.36,-19.8
"7","2015-12-21 17:00:00",0.24,-27.6
"8","2015-12-21 17:15:00",0.37,-27.8
"9","2015-12-21 17:30:00",0.17,-16.6
"10","2015-12-21 17:45:00",0.19,-3.1
"11","2015-12-21 18:00:00",0.35,-4.22
"12","2015-12-21 18:15:00",0.29,-3.09
"13","2015-12-21 18:30:00",0.32,-7.61
"14","2015-12-21 18:45:00",0.29,-18.9
"15","2015-12-21 19:00:00",0.18,-18.9
"16","2015-12-21 19:15:00",0.25,-6.49
"17","2015-12-21 19:30:00",0.31,5.95
"18","2015-12-21 19:45:00",0.29,-0.84
"19","2015-12-21 20:00:00",0.3,-1.97
"20","2015-12-21 20:15:00",0.28,0.29
"21","2015-12-21 20:30:00",0.31,2.55
"22","2015-12-21 20:45:00",0.28,-1.96
"23","2015-12-21 21:00:00",0.26,-16.6
"24","2015-12-21 21:15:00",0.15,-1.96
"25","2015-12-21 21:30:00",0.21,0.29
"26","2015-12-21 21:45:00",0.34,-9.86
"27","2015-12-21 22:00:00",0.26,-18.9
"28","2015-12-21 22:15:00",0.25,-23.4
"29","2015-12-21 22:30:00",0.1,-9.89
"30","2015-12-21 22:45:00",0.25,12.7
"31","2015-12-21 23:00:00",0.29,12.7
"32","2015-12-21 23:15:00",0.21,11.5
"33","2015-12-21 23:30:00",0.28,7.01
"34","2015-12-21 23:45:00",0.23,-5.31
"35","2015-12-22 00:00:00",0.22,-7.55
"36","2015-12-22 00:15:00",0.33,9.25
"37","2015-12-22 00:30:00",0.33,4.77
"38","2015-12-22 00:45:00",0.26,-3.07
"39","2015-12-22 01:00:00",0.36,-9.79
"40","2015-12-22 01:15:00",0.25,-1.95
"41","2015-12-22 01:30:00",0.21,13.7
"42","2015-12-22 01:45:00",0.18,8.08
"43","2015-12-22 02:00:00",0.2,7.98
"44","2015-12-22 02:15:00",0.3,-3.01
"45","2015-12-22 02:30:00",0.25,4.68
"46","2015-12-22 02:45:00",0.29,-1.91
"47","2015-12-22 03:00:00",0.2,-15.1
"48","2015-12-22 03:15:00",0.3,-15.1
"49","2015-12-22 03:30:00",0.22,-17.4
"50","2015-12-22 03:45:00",0.15,2.51
"51","2015-12-22 04:00:00",0.32,2.51
"52","2015-12-22 04:15:00",0.25,-9.71
"53","2015-12-22 04:30:00",0.13,-15.3
"54","2015-12-22 04:45:00",0.23,-12
"55","2015-12-22 05:00:00",0.23,2.54
"56","2015-12-22 05:15:00",0.26,4.78
"57","2015-12-22 05:30:00",0.32,-1.95
"58","2015-12-22 05:45:00",0.21,-15.4
"59","2015-12-22 06:00:00",0.29,-6.44
"60","2015-12-22 06:15:00",0.15,-12.1
"61","2015-12-22 06:30:00",0.15,-17.7
"62","2015-12-22 06:45:00",0.19,-24.5
"63","2015-12-22 07:00:00",0.14,-28
"64","2015-12-22 07:15:00",0.23,-29.2
"65","2015-12-22 07:30:00",0.09,-32.8
"66","2015-12-22 07:45:00",0.21,-34.3
"67","2015-12-22 08:00:00",0.18,-36.8
"68","2015-12-22 08:15:00",0.14,-29.9
"69","2015-12-22 08:30:00",0.23,-23
"70","2015-12-22 08:45:00",0.26,-4.35
"71","2015-12-22 09:00:00",0.34,11.9
"72","2015-12-22 09:15:00",0.26,13
"73","2015-12-22 09:30:00",0.18,9.44
"74","2015-12-22 09:45:00",0.2,12.8
"75","2015-12-22 10:00:00",0.23,4.84
"76","2015-12-22 10:15:00",0.22,-9.94
"77","2015-12-22 10:30:00",0.25,-9.94
"78","2015-12-22 10:45:00",0.29,1.43
"79","2015-12-22 11:00:00",0.15,12.8
"80","2015-12-22 11:15:00",0.14,11.6
"81","2015-12-22 11:30:00",0.16,11.5
"82","2015-12-22 11:45:00",0.13,13.7
"83","2015-12-22 12:00:00",0.2,21.2
"84","2015-12-22 12:15:00",0.26,15.6
"85","2015-12-22 12:30:00",0.18,11.2
"86","2015-12-22 12:45:00",0.21,3.55
"87","2015-12-22 13:00:00",0.32,0.28
"88","2015-12-22 13:15:00",0.31,-9.56
"89","2015-12-22 13:30:00",0.29,-6.29
"90","2015-12-22 13:45:00",0.28,5.78
"91","2015-12-22 14:00:00",0.14,2.48
"92","2015-12-22 14:15:00",0.25,-6.31
"93","2015-12-22 14:30:00",0.27,-6.31
"94","2015-12-22 14:45:00",0.24,-3.02
"95","2015-12-22 15:00:00",0.3,-0.82
"96","2015-12-22 15:15:00",0.24,-3.02
"97","2015-12-22 15:30:00",0.25,-17.4
"98","2015-12-22 15:45:00",0.19,-16.4
"99","2015-12-22 16:00:00",0.24,-19.8
"100","2015-12-22 16:15:00",0.26,-7.57
"101","2015-12-22 16:30:00",0.19,-12.1
"102","2015-12-22 16:45:00",0.24,-8.73
"103","2015-12-22 17:00:00",0.3,-25.7
"104","2015-12-22 17:15:00",0.09,-25.9
"105","2015-12-22 17:30:00",0.34,-15.7
"106","2015-12-22 17:45:00",0.28,-9.97
"107","2015-12-22 18:00:00",0.29,-4.27
"108","2015-12-22 18:15:00",0.16,-16.9
"109","2015-12-22 18:30:00",0.23,-26.1
"110","2015-12-22 18:45:00",0.21,-26.3
"111","2015-12-22 19:00:00",0.29,-13.6
"112","2015-12-22 19:15:00",0.19,-19.4
"113","2015-12-22 19:30:00",0.22,-24.1
"114","2015-12-22 19:45:00",0.11,-16
"115","2015-12-22 20:00:00",0.16,-0.86
"116","2015-12-22 20:15:00",0.26,4.97
"117","2015-12-22 20:30:00",0.38,2.63
"118","2015-12-22 20:45:00",0.2,6.1
"119","2015-12-22 21:00:00",0.19,2.62
"120","2015-12-22 21:15:00",0.22,-7.81
"121","2015-12-22 21:30:00",0.25,-34.5
"122","2015-12-22 21:45:00",0.37,-32.4
"123","2015-12-22 22:00:00",0.19,-26.6
"124","2015-12-22 22:15:00",0.13,-17.3
"125","2015-12-22 22:30:00",0.26,4.99
"126","2015-12-22 22:45:00",0.31,2.64
"127","2015-12-22 23:00:00",0.23,1.47
"128","2015-12-22 23:15:00",0.14,-14.9
"129","2015-12-22 23:30:00",0.18,-30.2
"130","2015-12-22 23:45:00",0.26,-25.6
"131","2015-12-23 00:00:00",0.07,-18.5
"132","2015-12-23 00:15:00",0.27,-6.75
"133","2015-12-23 00:30:00",0.28,13.2
"134","2015-12-23 00:45:00",0.21,12
"135","2015-12-23 01:00:00",0.18,4.98
"136","2015-12-23 01:15:00",0.19,-0.86
"137","2015-12-23 01:30:00",0.21,-7.87
"138","2015-12-23 01:45:00",0.1,-10.2
"139","2015-12-23 02:00:00",0.16,-11.4
"140","2015-12-23 02:15:00",0.24,-0.87
"141","2015-12-23 02:30:00",0.2,-19.6
"142","2015-12-23 02:45:00",0.08,-10.3
"143","2015-12-23 03:00:00",0.18,-5.57
"144","2015-12-23 03:15:00",0.23,0.3
"145","2015-12-23 03:30:00",0.26,-9.1
"146","2015-12-23 03:45:00",0.22,0.3
"147","2015-12-23 04:00:00",0.26,-16.2
"148","2015-12-23 04:15:00",0.18,-31.6
"149","2015-12-23 04:30:00",0.22,-10.3
"150","2015-12-23 04:45:00",0.21,10.9
"151","2015-12-23 05:00:00",0.15,20.3
"152","2015-12-23 05:15:00",0.18,23.6
"153","2015-12-23 05:30:00",0.26,18.9
"154","2015-12-23 05:45:00",0.26,15.4
"155","2015-12-23 06:00:00",0.31,4.93
"156","2015-12-23 06:15:00",0.22,3.77
"157","2015-12-23 06:30:00",0.21,-10.1
"158","2015-12-23 06:45:00",0.16,1.46
"159","2015-12-23 07:00:00",0.22,6.1
"160","2015-12-23 07:15:00",0.17,15.3
"161","2015-12-23 07:30:00",0.35,17.5
"162","2015-12-23 07:45:00",0.29,20.9
"163","2015-12-23 08:00:00",0.17,20.8
"164","2015-12-23 08:15:00",0.18,16.2
"165","2015-12-23 08:30:00",0.11,3.7
"166","2015-12-23 08:45:00",0.22,2.56
"167","2015-12-23 09:00:00",0.12,4.82
"168","2015-12-23 09:15:00",0.19,5.95
"169","2015-12-23 09:30:00",0.18,7.06
"170","2015-12-23 09:45:00",0.17,8.17
"171","2015-12-23 10:00:00",0.26,2.54
"172","2015-12-23 10:15:00",0.22,-4.21
"173","2015-12-23 10:30:00",0.12,-22.3
"174","2015-12-23 10:45:00",0.18,-13.4
"175","2015-12-23 11:00:00",0.23,-9.99
"176","2015-12-23 11:15:00",0.21,-20.3
"177","2015-12-23 11:30:00",0.21,-8.87
"178","2015-12-23 11:45:00",0.26,9.46
"179","2015-12-23 12:00:00",0.3,-8.87
"180","2015-12-23 12:15:00",0.25,-18.1
"181","2015-12-23 12:30:00",0.24,-18.1
"182","2015-12-23 12:45:00",0.23,-15.9
"183","2015-12-23 13:00:00",0.25,4.93
"184","2015-12-23 13:15:00",0.17,6.09
"185","2015-12-23 13:30:00",0.18,7.25
"186","2015-12-23 13:45:00",0.1,4.92
"187","2015-12-23 14:00:00",0.23,3.75
"188","2015-12-23 14:15:00",0.16,1.45
"189","2015-12-23 14:30:00",0.22,0.3
"190","2015-12-23 14:45:00",0.22,8.36
"191","2015-12-23 15:00:00",0.23,14.1
"192","2015-12-23 15:15:00",0.17,11.8
"193","2015-12-23 15:30:00",0.24,0.3
"194","2015-12-23 15:45:00",0.2,-11.3
"195","2015-12-23 16:00:00",0.2,-26.3
"196","2015-12-23 16:15:00",0.22,-28.9
"197","2015-12-23 16:30:00",0.18,-26.7
"198","2015-12-23 16:45:00",0.19,-28
"199","2015-12-23 17:00:00",0.14,-22.1
"200","2015-12-23 17:15:00",0.15,-19.8
"201","2015-12-23 17:30:00",0.13,-17.5
