"","dateTime","Nitrate_mgl","Flow_Inst"
"1","2017-12-04 19:45:00",0.17,383
"2","2017-12-04 20:00:00",0.17,386
"3","2017-12-04 20:15:00",0.17,395
"4","2017-12-04 20:30:00",0.17,359
"5","2017-12-04 20:45:00",0.17,345
"6","2017-12-04 21:00:00",0.17,360
"7","2017-12-04 21:15:00",0.17,388
"8","2017-12-04 21:30:00",0.17,361
"9","2017-12-04 21:45:00",0.16,369
"10","2017-12-04 22:00:00",0.17,369
"11","2017-12-04 22:15:00",0.17,390
"12","2017-12-04 22:30:00",0.17,383
"13","2017-12-04 22:45:00",0.17,369
"14","2017-12-04 23:00:00",0.17,362
"15","2017-12-04 23:15:00",0.17,362
"16","2017-12-04 23:30:00",0.17,362
"17","2017-12-04 23:45:00",0.17,362
"18","2017-12-05 00:00:00",0.16,347
"19","2017-12-05 00:15:00",0.17,369
"20","2017-12-05 00:30:00",0.17,383
"21","2017-12-05 00:45:00",0.17,340
"22","2017-12-05 01:00:00",0.16,369
"23","2017-12-05 01:15:00",0.17,369
"24","2017-12-05 01:30:00",0.16,362
"25","2017-12-05 01:45:00",0.17,376
"26","2017-12-05 02:00:00",0.17,371
"27","2017-12-05 02:15:00",0.16,356
"28","2017-12-05 02:30:00",0.17,364
"29","2017-12-05 02:45:00",0.17,371
"30","2017-12-05 03:00:00",0.17,371
"31","2017-12-05 03:15:00",0.17,349
"32","2017-12-05 03:30:00",0.17,364
"33","2017-12-05 03:45:00",0.17,364
"34","2017-12-05 04:00:00",0.17,364
"35","2017-12-05 04:15:00",0.17,371
"36","2017-12-05 04:30:00",0.17,357
"37","2017-12-05 04:45:00",0.17,364
"38","2017-12-05 05:00:00",0.17,371
"39","2017-12-05 05:15:00",0.17,393
"40","2017-12-05 05:30:00",0.17,371
"41","2017-12-05 05:45:00",0.17,393
"42","2017-12-05 06:00:00",0.17,342
"43","2017-12-05 06:15:00",0.17,357
"44","2017-12-05 06:30:00",0.18,379
"45","2017-12-05 06:45:00",0.18,357
"46","2017-12-05 07:00:00",0.18,372
"47","2017-12-05 07:15:00",0.18,364
"48","2017-12-05 07:30:00",0.18,364
"49","2017-12-05 07:45:00",0.18,357
"50","2017-12-05 08:00:00",0.18,343
"51","2017-12-05 08:15:00",0.18,394
"52","2017-12-05 08:30:00",0.19,357
"53","2017-12-05 08:45:00",0.19,386
"54","2017-12-05 09:00:00",0.18,356
"55","2017-12-05 09:15:00",0.18,377
"56","2017-12-05 09:30:00",0.18,356
"57","2017-12-05 09:45:00",0.18,341
"58","2017-12-05 10:00:00",0.19,378
"59","2017-12-05 10:15:00",0.19,363
"60","2017-12-05 10:30:00",0.18,370
"61","2017-12-05 10:45:00",0.19,370
"62","2017-12-05 11:00:00",0.18,349
"63","2017-12-05 11:15:00",0.19,363
"64","2017-12-05 11:30:00",0.19,371
"65","2017-12-05 11:45:00",0.19,363
"66","2017-12-05 12:00:00",0.19,363
"67","2017-12-05 12:15:00",0.19,335
"68","2017-12-05 12:30:00",0.2,363
"69","2017-12-05 12:45:00",0.19,356
"70","2017-12-05 13:00:00",0.19,349
"71","2017-12-05 13:15:00",0.19,356
"72","2017-12-05 13:30:00",0.19,364
"73","2017-12-05 13:45:00",0.19,356
"74","2017-12-05 14:00:00",0.19,356
"75","2017-12-05 14:15:00",0.19,349
"76","2017-12-05 14:30:00",0.19,371
"77","2017-12-05 14:45:00",0.19,364
"78","2017-12-05 15:00:00",0.19,364
"79","2017-12-05 15:15:00",0.19,385
"80","2017-12-05 15:30:00",0.19,364
"81","2017-12-05 15:45:00",0.19,371
"82","2017-12-05 16:00:00",0.19,357
"83","2017-12-05 16:15:00",0.19,371
"84","2017-12-05 16:30:00",0.19,357
"85","2017-12-05 16:45:00",0.19,357
"86","2017-12-05 17:00:00",0.19,371
"87","2017-12-05 17:15:00",0.18,350
"88","2017-12-05 17:30:00",0.18,364
"89","2017-12-05 17:45:00",0.18,343
"90","2017-12-05 18:00:00",0.18,364
"91","2017-12-05 18:15:00",0.18,357
"92","2017-12-05 18:30:00",0.18,357
"93","2017-12-05 18:45:00",0.18,343
"94","2017-12-05 19:00:00",0.17,328
"95","2017-12-05 19:15:00",0.18,379
"96","2017-12-05 19:30:00",0.17,343
"97","2017-12-05 19:45:00",0.17,372
"98","2017-12-05 20:00:00",0.17,393
"99","2017-12-05 20:15:00",0.17,379
"100","2017-12-05 20:30:00",0.17,365
"101","2017-12-05 20:45:00",0.17,350
"102","2017-12-05 21:00:00",0.17,357
"103","2017-12-05 21:15:00",0.17,386
"104","2017-12-05 21:30:00",0.17,386
"105","2017-12-05 21:45:00",0.17,394
"106","2017-12-05 22:00:00",0.17,372
"107","2017-12-05 22:15:00",0.17,321
"108","2017-12-05 22:30:00",0.17,358
"109","2017-12-05 22:45:00",0.17,365
"110","2017-12-05 23:00:00",0.17,372
"111","2017-12-05 23:15:00",0.17,372
"112","2017-12-05 23:30:00",0.17,343
"113","2017-12-05 23:45:00",0.17,358
"114","2017-12-06 00:00:00",0.17,365
"115","2017-12-06 00:15:00",0.16,358
"116","2017-12-06 00:30:00",0.17,358
"117","2017-12-06 00:45:00",0.16,367
"118","2017-12-06 01:00:00",0.16,374
"119","2017-12-06 01:15:00",0.17,374
"120","2017-12-06 01:30:00",0.17,381
"121","2017-12-06 01:45:00",0.17,367
"122","2017-12-06 02:00:00",0.17,403
"123","2017-12-06 02:15:00",0.17,403
"124","2017-12-06 02:30:00",0.17,367
"125","2017-12-06 02:45:00",0.17,374
"126","2017-12-06 03:00:00",0.17,389
"127","2017-12-06 03:15:00",0.17,382
"128","2017-12-06 03:30:00",0.17,382
"129","2017-12-06 03:45:00",0.17,360
"130","2017-12-06 04:00:00",0.17,375
"131","2017-12-06 04:15:00",0.17,382
"132","2017-12-06 04:30:00",0.17,346
"133","2017-12-06 04:45:00",0.17,367
"134","2017-12-06 05:00:00",0.17,375
"135","2017-12-06 05:15:00",0.17,353
"136","2017-12-06 05:30:00",0.18,375
"137","2017-12-06 05:45:00",0.18,353
"138","2017-12-06 06:00:00",0.18,368
"139","2017-12-06 06:15:00",0.18,375
"140","2017-12-06 06:30:00",0.18,353
"141","2017-12-06 06:45:00",0.18,368
"142","2017-12-06 07:00:00",0.18,361
"143","2017-12-06 07:15:00",0.18,375
"144","2017-12-06 07:30:00",0.18,382
"145","2017-12-06 07:45:00",0.18,375
"146","2017-12-06 08:00:00",0.18,375
"147","2017-12-06 08:15:00",0.18,382
"148","2017-12-06 08:30:00",0.18,368
"149","2017-12-06 08:45:00",0.19,368
"150","2017-12-06 09:00:00",0.18,368
"151","2017-12-06 09:15:00",0.18,354
"152","2017-12-06 09:30:00",0.19,361
"153","2017-12-06 09:45:00",0.19,375
"154","2017-12-06 10:00:00",0.19,354
"155","2017-12-06 10:15:00",0.19,361
"156","2017-12-06 10:30:00",0.19,361
"157","2017-12-06 10:45:00",0.19,390
"158","2017-12-06 11:00:00",0.19,354
"159","2017-12-06 11:15:00",0.19,354
"160","2017-12-06 11:30:00",0.19,368
"161","2017-12-06 11:45:00",0.19,361
"162","2017-12-06 12:00:00",0.19,361
"163","2017-12-06 12:15:00",0.19,369
"164","2017-12-06 12:30:00",0.19,369
"165","2017-12-06 12:45:00",0.19,361
"166","2017-12-06 13:00:00",0.19,390
"167","2017-12-06 13:15:00",0.19,369
"168","2017-12-06 13:30:00",0.19,369
"169","2017-12-06 13:45:00",0.19,376
"170","2017-12-06 14:00:00",0.19,376
"171","2017-12-06 14:15:00",0.19,362
"172","2017-12-06 14:30:00",0.19,362
"173","2017-12-06 14:45:00",0.19,354
"174","2017-12-06 15:00:00",0.19,391
"175","2017-12-06 15:15:00",0.19,354
"176","2017-12-06 15:30:00",0.19,362
"177","2017-12-06 15:45:00",0.19,369
"178","2017-12-06 16:00:00",0.18,376
"179","2017-12-06 16:15:00",0.19,376
"180","2017-12-06 16:30:00",0.19,391
"181","2017-12-06 16:45:00",0.19,362
"182","2017-12-06 17:00:00",0.19,362
"183","2017-12-06 17:15:00",0.19,369
"184","2017-12-06 17:30:00",0.19,362
"185","2017-12-06 17:45:00",0.18,369
"186","2017-12-06 18:00:00",0.18,362
"187","2017-12-06 18:15:00",0.18,377
"188","2017-12-06 18:30:00",0.18,377
"189","2017-12-06 18:45:00",0.18,362
"190","2017-12-06 19:00:00",0.18,364
"191","2017-12-06 19:15:00",0.18,357
"192","2017-12-06 19:30:00",0.18,379
"193","2017-12-06 19:45:00",0.18,364
"194","2017-12-06 20:00:00",0.18,371
"195","2017-12-06 20:15:00",0.18,380
"196","2017-12-06 20:30:00",0.18,373
"197","2017-12-06 20:45:00",0.17,386
"198","2017-12-06 21:00:00",0.17,359
"199","2017-12-06 21:15:00",0.18,359
"200","2017-12-06 21:30:00",0.18,381
"201","2017-12-06 21:45:00",0.18,381
"202","2017-12-06 22:00:00",0.17,373
"203","2017-12-06 22:15:00",0.18,372
"204","2017-12-06 22:30:00",0.18,357
"205","2017-12-06 22:45:00",0.18,372
