"","X","county_nm","total_pop","industrial","thermoelectric","livestock","irrigation"
"1",1,"Alachua County",259.964,0,0,0.01,0.2
"2",2,"Baker County",27.42,0,0,0,0.06
"3",3,"Bay County",181.635,0,170.16,0,0.51
"4",4,"Bradford County",26.928,0,0,0.01,0.02
"5",5,"Brevard County",568.088,0,518.79,0,6.82
"6",6,"Broward County",1896.425,0.01,379.78,0.02,32.97
"7",7,"Calhoun County",14.462,0,0,0,0.14
"8",8,"Charlotte County",173.115,0,0,0,6.47
"9",9,"Citrus County",141.058,0,1262.36,0,0.17
"10",10,"Clay County",203.967,0,0,0,1.21
"11",11,"Collier County",357.305,0,0,0,29.51
"12",12,"Columbia County",68.348,0,0,0.01,0.05
"13",13,"DeSoto County",35.458,0,0,0,0.25
"14",14,"Dixie County",16.203,0,0,0,0
"15",15,"Duval County",913.01,3.14,646.1,0,6.12
"16",16,"Escambia County",311.003,23.49,171.46,0,0.52
"17",17,"Flagler County",105.392,0,0,0,1.88
"18",18,"Franklin County",11.761,0,0,0,0.16
"19",19,"Gadsden County",46.036,0,0,0,5.38
"20",20,"Gilchrist County",17.199,0,0,0.04,0.01
"21",21,"Glades County",13.67,6.65,0,0,112.47
"22",22,"Gulf County",15.871,0,0,0,0
"23",23,"Hamilton County",14.295,0,0,0.01,0.01
"24",24,"Hardee County",27.502,0,0,0,0.31
"25",25,"Hendry County",39.119,1.67,0,0.02,256.69
"26",26,"Hernando County",178.439,0,0,0,0.59
"27",27,"Highlands County",99.491,0.02,0,0.01,14.4
"28",28,"Hillsborough County",1349.05,2.65,1594.69,0,2.43
"29",29,"Holmes County",19.324,0,0,0,0.01
"30",30,"Indian River County",147.919,0,2.19,0,35.69
"31",31,"Jackson County",48.599,0,40.12,0,0.08
"32",32,"Jefferson County",14.081,0,0,0,0.24
"33",33,"Lafayette County",8.663,0,0,0.05,0.02
"34",34,"Lake County",325.875,0,0,0,9.83
"35",35,"Lee County",701.982,0.06,582.15,0,27.42
"36",36,"Leon County",286.272,0,0,0.01,0.04
"37",37,"Levy County",39.832,0,0,0.01,0.04
"38",38,"Liberty County",8.331,0.03,0,0,0
"39",39,"Madison County",18.408,0,0,0.02,0.04
"40",40,"Manatee County",363.369,0,0,0,1
"41",41,"Marion County",343.254,0,0,0,3.11
"42",42,"Martin County",156.283,0.68,0,0,97.6
"43",43,"Miami-Dade County",2693.117,0.03,0,0,5.45
"44",44,"Monroe County",77.482,0,0,0,0.42
"45",45,"Nassau County",78.444,1.26,0,0,2.49
"46",46,"Okaloosa County",198.664,0,0,0,1.34
"47",47,"Okeechobee County",39.469,0,0,0.01,2.13
"48",48,"Orange County",1288.126,0,0,0,5.53
"49",49,"Osceola County",323.993,0,0,0,4.52
"50",50,"Palm Beach County",1422.789,0,493.39,0.01,562.05
"51",51,"Pasco County",497.909,0,1775.5,0,0.34
"52",52,"Pinellas County",949.827,0,488.27,0,0.39
"53",53,"Polk County",650.092,0.9,7.83,0.01,7.42
"54",54,"Putnam County",72.023,23.94,0,0,1.5
"55",55,"St. Johns County",226.64,0,0,0,4.55
"56",56,"St. Lucie County",298.563,0,1482.93,0,28.62
"57",57,"Santa Rosa County",167.04,0,0,0,0.13
"58",58,"Sarasota County",405.549,0.18,0,0,1.23
"59",59,"Seminole County",449.144,0,0,0,1.39
"60",60,"Sumter County",118.891,0,0,0,0.1
"61",61,"Suwannee County",43.76,0,134.59,0.05,0.12
"62",62,"Taylor County",22.493,0,0,0,0
"63",63,"Union County",15.234,0,0,0.01,0
"64",64,"Volusia County",517.887,0,0,0,6.73
"65",65,"Wakulla County",31.535,0,0,0,0
"66",66,"Walton County",63.508,0,0,0.04,2.34
"67",67,"Washington County",24.687,0,0,0,0.02
